Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120475-69189,QB,Justin,Justin Herbert,Herbert,30.920000076293945,1,13200,19800,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-26483,QB,Geno,Geno Smith,Smith,21.479999542236328,1,12600,18900,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120475-133472,WR,Ladd,Ladd McConkey,McConkey,10.399999618530273,1,12000,18000,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-151794,TE,Brock,Brock Bowers,Bowers,15.800000190734863,1,11400,17100,LAC@LV,LV,LAC,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
120475-167031,RB,Ashton,Ashton Jeanty,Jeanty,11,1,10800,16200,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120475-63634,WR,Jakobi,Jakobi Meyers,Meyers,13.699999809265137,1,9200,13800,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120475-29253,WR,Keenan,Keenan Allen,Allen,16.299999237060547,1,8800,13200,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-174215,RB,Omarion,Omarion Hampton,Hampton,7.099999904632568,1,8200,12300,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-120639,WR,Quentin,Quentin Johnston,Johnston,22.399999618530273,1,7400,11100,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-92496,K,Cameron,Cameron Dicker,Dicker,9,1,7000,10500,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-40856,K,Daniel,Daniel Carlson,Carlson,11,1,6800,10200,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120475-12548,D,Los Angeles,Los Angeles Chargers,Chargers,2,1,6200,9300,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-12537,D,Las Vegas,Las Vegas Raiders,Raiders,10,1,6000,9000,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120475-103619,WR,Tre,Tre Tucker,Tucker,12.399999618530273,1,5800,8700,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120475-90575,RB,Najee,Najee Harris,Harris,1.5,1,5200,7800,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-56708,TE,Will,Will Dissly,Dissly,2.299999952316284,1,4600,6900,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-138998,TE,Michael,Michael Mayer,Mayer,5.800000190734863,1,4200,6300,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120475-151909,WR,Dont'e,Dont'e Thornton Jr.,Thornton Jr.,5.5,1,3800,5700,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120475-129546,WR,Tre',Tre' Harris,Harris,1.600000023841858,1,3200,4800,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-60451,TE,Tyler,Tyler Conklin,Conklin,6.199999809265137,1,2800,4200,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
120475-151741,WR,Jack,Jack Bech,Bech,2.799999952316284,1,2200,3300,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
