entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3570671820,120475-276524701,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120475-174215:Omarion Hampton,120475-26483:Geno Smith,120475-63634:Jakobi Meyers,120475-29253:Keenan Allen,120475-69189:Justin Herbert,120475-60451:Tyler Conklin,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3570671822,120475-276524701,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120475-26483:Geno Smith,120475-69189:Justin Herbert,120475-63634:Jakobi Meyers,120475-174215:Omarion Hampton,120475-120639:Quentin Johnston,120475-60451:Tyler Conklin,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3570671824,120475-276524701,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120475-69189:Justin Herbert,120475-26483:Geno Smith,120475-63634:Jakobi Meyers,120475-174215:Omarion Hampton,120475-120639:Quentin Johnston,120475-60451:Tyler Conklin,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3570671825,120475-276524701,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120475-26483:Geno Smith,120475-69189:Justin Herbert,120475-63634:Jakobi Meyers,120475-174215:Omarion Hampton,120475-92496:Cameron Dicker,120475-60451:Tyler Conklin,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3570671826,120475-276524701,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120475-174215:Omarion Hampton,120475-26483:Geno Smith,120475-63634:Jakobi Meyers,120475-69189:Justin Herbert,120475-40856:Daniel Carlson,120475-103619:Tre Tucker,,,,,,,,,,,,,,,,,,,,
3570671827,120475-276524701,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120475-26483:Geno Smith,120475-69189:Justin Herbert,120475-63634:Jakobi Meyers,120475-174215:Omarion Hampton,120475-12548:Los Angeles Chargers,120475-60451:Tyler Conklin,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3570671828,120475-276524701,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120475-151794:Brock Bowers,120475-26483:Geno Smith,120475-63634:Jakobi Meyers,120475-29253:Keenan Allen,120475-174215:Omarion Hampton,120475-60451:Tyler Conklin,,120475-69189:Justin Herbert,120475-69189,QB,Justin,Justin Herbert,Herbert,30.92000008,1,13200,19800,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
3570671829,120475-276524701,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120475-26483:Geno Smith,120475-69189:Justin Herbert,120475-63634:Jakobi Meyers,120475-174215:Omarion Hampton,120475-12537:Las Vegas Raiders,120475-60451:Tyler Conklin,,120475-26483:Geno Smith,120475-26483,QB,Geno,Geno Smith,Smith,21.47999954,1,12600,18900,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
3570671831,120475-276524701,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120475-133472:Ladd McConkey,120475-26483:Geno Smith,120475-63634:Jakobi Meyers,120475-29253:Keenan Allen,120475-174215:Omarion Hampton,120475-60451:Tyler Conklin,,120475-133472:Ladd McConkey,120475-133472,WR,Ladd,Ladd McConkey,McConkey,10.39999962,1,12000,18000,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
3570671833,120475-276524701,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120475-26483:Geno Smith,120475-167031:Ashton Jeanty,120475-63634:Jakobi Meyers,120475-29253:Keenan Allen,120475-174215:Omarion Hampton,120475-60451:Tyler Conklin,,120475-151794:Brock Bowers,120475-151794,TE,Brock,Brock Bowers,Bowers,15.80000019,1,11400,17100,LAC@LV,LV,LAC,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-167031:Ashton Jeanty,120475-167031,RB,Ashton,Ashton Jeanty,Jeanty,11,1,10800,16200,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-63634:Jakobi Meyers,120475-63634,WR,Jakobi,Jakobi Meyers,Meyers,13.69999981,1,9200,13800,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-29253:Keenan Allen,120475-29253,WR,Keenan,Keenan Allen,Allen,16.29999924,1,8800,13200,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-174215:Omarion Hampton,120475-174215,RB,Omarion,Omarion Hampton,Hampton,7.099999905,1,8200,12300,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-120639:Quentin Johnston,120475-120639,WR,Quentin,Quentin Johnston,Johnston,22.39999962,1,7400,11100,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-92496:Cameron Dicker,120475-92496,K,Cameron,Cameron Dicker,Dicker,9,1,7000,10500,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-40856:Daniel Carlson,120475-40856,K,Daniel,Daniel Carlson,Carlson,11,1,6800,10200,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-12548:Los Angeles Chargers,120475-12548,D,Los Angeles,Los Angeles Chargers,Chargers,2,1,6200,9300,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-12537:Las Vegas Raiders,120475-12537,D,Las Vegas,Las Vegas Raiders,Raiders,10,1,6000,9000,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-103619:Tre Tucker,120475-103619,WR,Tre,Tre Tucker,Tucker,12.39999962,1,5800,8700,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-90575:Najee Harris,120475-90575,RB,Najee,Najee Harris,Harris,1.5,1,5200,7800,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-56708:Will Dissly,120475-56708,TE,Will,Will Dissly,Dissly,2.299999952,1,4600,6900,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-138998:Michael Mayer,120475-138998,TE,Michael,Michael Mayer,Mayer,5.800000191,1,4200,6300,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-151909:Dont'e Thornton Jr.,120475-151909,WR,Dont'e,Dont'e Thornton Jr.,Thornton Jr.,5.5,1,3800,5700,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-129546:Tre' Harris,120475-129546,WR,Tre',Tre' Harris,Harris,1.600000024,1,3200,4800,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-60451:Tyler Conklin,120475-60451,TE,Tyler,Tyler Conklin,Conklin,6.199999809,1,2800,4200,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-151741:Jack Bech,120475-151741,WR,Jack,Jack Bech,Bech,2.799999952,1,2200,3300,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-91361:Hassan Haskins,120475-91361,RB,Hassan,Hassan Haskins,Haskins,0,1,2000,3000,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-94621:Derius Davis,120475-94621,WR,Derius,Derius Davis,Davis,0.300000012,1,1800,2700,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-91578:Zamir White,120475-91578,RB,Zamir,Zamir White,White,0.800000012,1,1600,2400,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-128805:KeAndre Lambert-Smith,120475-128805,WR,KeAndre,KeAndre Lambert-Smith,Lambert-Smith,0,1,1400,2100,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-28744:Raheem Mostert,120475-28744,RB,Raheem,Raheem Mostert,Mostert,4.72307704,13,1200,1800,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-72515:Ian Thomas,120475-72515,TE,Ian,Ian Thomas,Thomas,0.733333349,3,1000,1500,LAC@LV,LV,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-149696:Trey Lance,120475-149696,QB,Trey,Trey Lance,Lance,2.747999954,5,1000,1500,LAC@LV,LAC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120475-93382:Aidan O'Connell,120475-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.16444482,9,1000,1500,LAC@LV,LV,LAC,IR,Wrist,,,,MVP - 1.5X Points/AnyFLEX
