Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120474-41535,QB,Baker,Baker Mayfield,Mayfield,22.579999923706055,1,13200,19800,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-91419,WR,Nico,Nico Collins,Collins,4,1,13000,19500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-152664,RB,Bucky,Bucky Irving,Irving,12.5,1,12200,18300,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-129471,QB,C.J.,C.J. Stroud,Stroud,9.720000267028809,1,11200,16800,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-32384,WR,Mike,Mike Evans,Evans,7.599999904632568,1,10400,15600,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-152655,WR,Emeka,Emeka Egbuka,Egbuka,21.600000381469727,1,9800,14700,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-53562,RB,Nick,Nick Chubb,Chubb,6,1,8800,13200,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-60858,WR,Christian,Christian Kirk,Kirk,7.175000190734863,8,7600,11400,TB@HOU,HOU,TB,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
120474-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,14,1,7200,10800,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,2,1,6800,10200,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-60479,K,Chase,Chase McLaughlin,McLaughlin,6,1,6600,9900,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-12556,D,Houston,Houston Texans,Texans,6,1,6400,9600,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-137902,RB,Rachaad,Rachaad White,White,2.0999999046325684,1,5600,8400,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-55042,TE,Dalton,Dalton Schultz,Schultz,4.300000190734863,1,5200,7800,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-27477,WR,Sterling,Sterling Shepard,Shepard,5.400000095367432,1,4400,6600,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-86811,TE,Cade,Cade Otton,Otton,0,1,4000,6000,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-86055,RB,Dameon,Dameon Pierce,Pierce,0.5,1,3800,5700,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,4.5,1,3600,5400,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-147315,WR,Jayden,Jayden Higgins,Higgins,4.199999809265137,1,3000,4500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-83083,WR,Justin,Justin Watson,Watson,3.700000047683716,1,2600,3900,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,1.600000023841858,1,2200,3300,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-137059,RB,Sean,Sean Tucker,Tucker,0.20000000298023224,1,2000,3000,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-138774,RB,Woody,Woody Marks,Marks,0.30000001192092896,1,1800,2700,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-152007,WR,Jaylin,Jaylin Noel,Noel,1.2000000476837158,1,1600,2400,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-95370,TE,Ryan,Ryan Miller,Miller,0,1,1400,2100,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-93391,TE,Payne,Payne Durham,Durham,5.8,5,1200,1800,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-142086,WR,Silas,Silas Bolden,Bolden,,0,1000,1500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-103308,RB,Jawhar,Jawhar Jordan,Jordan,,0,1000,1500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-52495,WR,Braxton,Braxton Berrios,Berrios,0,6,1000,1500,TB@HOU,HOU,TB,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
120474-94094,TE,Brevin,Brevin Jordan,Jordan,0.8500000238418579,2,1000,1500,TB@HOU,HOU,TB,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
120474-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,0.699999988079071,1,1000,1500,TB@HOU,HOU,TB,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
120474-111637,TE,Cade,Cade Stover,Stover,4.199999809265137,1,1000,1500,TB@HOU,HOU,TB,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
120474-110868,RB,Josh,Josh Williams,Williams,,0,1000,1500,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-89628,QB,Davis,Davis Mills,Mills,1.596666653951009,6,1000,1500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-185889,TE,Tanner,Tanner Taula,Taula,,0,1000,1500,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-103591,QB,Graham,Graham Mertz,Mertz,,0,1000,1500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-110000,QB,Connor,Connor Bazelak,Bazelak,,0,1000,1500,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-60981,TE,Charlie,Charlie Heck,Heck,,0,1000,1500,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-52409,RB,Jakob,Jakob Johnson,Johnson,,0,1000,1500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-201535,WR,Kameron,Kameron Johnson,Johnson,0,1,1000,1500,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-206276,WR,Jaden,Jaden Smith,Smith,,0,1000,1500,TB@HOU,TB,HOU,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
120474-70601,TE,Harrison,Harrison Bryant,Bryant,2.183333396911621,6,1000,1500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-109007,WR,Josh,Josh Kelly,Kelly,,0,1000,1500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,16.971429007393972,7,1000,1500,TB@HOU,TB,HOU,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
120474-112101,WR,Jared,Jared Wayne,Wayne,0,1,1000,1500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-170214,WR,Dennis,Dennis Houston,Houston,,0,1000,1500,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
120474-93540,RB,British,British Brooks,Brooks,0.20000000298023224,1,1000,1500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
120474-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0.11999999731779099,1,1000,1500,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
