entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3570665080,120474-276524222,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120474-129471:C.J. Stroud,120474-41535:Baker Mayfield,120474-32384:Mike Evans,120474-152655:Emeka Egbuka,120474-55042:Dalton Schultz,120474-86811:Cade Otton,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3570665082,120474-276524222,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120474-129471:C.J. Stroud,120474-41535:Baker Mayfield,120474-32384:Mike Evans,120474-53562:Nick Chubb,120474-12551:Tampa Bay Buccaneers,120474-86811:Cade Otton,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3570665084,120474-276524222,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120474-129471:C.J. Stroud,120474-41535:Baker Mayfield,120474-32384:Mike Evans,120474-53562:Nick Chubb,120474-12556:Houston Texans,120474-86811:Cade Otton,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3570665085,120474-276524222,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120474-41535:Baker Mayfield,120474-129471:C.J. Stroud,120474-32384:Mike Evans,120474-53562:Nick Chubb,120474-55042:Dalton Schultz,120474-86811:Cade Otton,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3570665086,120474-276524222,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120474-53562:Nick Chubb,120474-91419:Nico Collins,120474-129471:C.J. Stroud,120474-41535:Baker Mayfield,120474-55042:Dalton Schultz,120474-86811:Cade Otton,,,,,,,,,,,,,,,,,,,,
3570665087,120474-276524222,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120474-41535:Baker Mayfield,120474-129471:C.J. Stroud,120474-32384:Mike Evans,120474-152655:Emeka Egbuka,120474-55042:Dalton Schultz,120474-119788:Xavier Hutchinson,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3570665088,120474-276524222,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120474-91419:Nico Collins,120474-129471:C.J. Stroud,120474-32384:Mike Evans,120474-152655:Emeka Egbuka,120474-55042:Dalton Schultz,120474-119788:Xavier Hutchinson,,120474-41535:Baker Mayfield,120474-41535,QB,Baker,Baker Mayfield,Mayfield,22.57999992,1,13200,19800,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
3570665089,120474-276524222,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120474-32384:Mike Evans,120474-129471:C.J. Stroud,120474-41535:Baker Mayfield,120474-53562:Nick Chubb,120474-29932:Ka'imi Fairbairn,120474-119788:Xavier Hutchinson,,120474-91419:Nico Collins,120474-91419,WR,Nico,Nico Collins,Collins,4,1,13000,19500,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
3570665090,120474-276524222,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120474-152664:Bucky Irving,120474-129471:C.J. Stroud,120474-32384:Mike Evans,120474-53562:Nick Chubb,120474-29932:Ka'imi Fairbairn,120474-119788:Xavier Hutchinson,,120474-152664:Bucky Irving,120474-152664,RB,Bucky,Bucky Irving,Irving,12.5,1,12200,18300,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
3570665093,120474-276524222,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120474-41535:Baker Mayfield,120474-129471:C.J. Stroud,120474-32384:Mike Evans,120474-29932:Ka'imi Fairbairn,120474-60479:Chase McLaughlin,120474-119788:Xavier Hutchinson,,120474-129471:C.J. Stroud,120474-129471,QB,C.J.,C.J. Stroud,Stroud,9.720000267,1,11200,16800,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120474-32384:Mike Evans,120474-32384,WR,Mike,Mike Evans,Evans,7.599999905,1,10400,15600,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120474-152655:Emeka Egbuka,120474-152655,WR,Emeka,Emeka Egbuka,Egbuka,21.60000038,1,9800,14700,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120474-53562:Nick Chubb,120474-53562,RB,Nick,Nick Chubb,Chubb,6,1,8800,13200,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120474-60858:Christian Kirk,120474-60858,WR,Christian,Christian Kirk,Kirk,7.175000191,8,7600,11400,TB@HOU,HOU,TB,NA,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120474-29932:Ka'imi Fairbairn,120474-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,14,1,7200,10800,TB@HOU,HOU,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120474-12551:Tampa Bay Buccaneers,120474-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,2,1,6800,10200,TB@HOU,TB,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
