Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120272-102785,QB,Jayden,Jayden Daniels,Daniels,20.1200008392334,1,13600,20400,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-72731,RB,Josh,Josh Jacobs,Jacobs,13.5,1,12400,18600,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-69017,QB,Jordan,Jordan Love,Love,15.920000076293945,1,11800,17700,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-56250,WR,Terry,Terry McLaurin,McLaurin,3.700000047683716,1,11400,17100,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,19.100000381469727,1,10200,15300,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-89455,WR,Jayden,Jayden Reed,Reed,12,1,9800,14700,WAS@GB,GB,WAS,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
120272-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,14.199999809265137,1,8600,12900,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-80001,RB,Austin,Austin Ekeler,Ekeler,7.199999809265137,1,7800,11700,WAS@GB,WAS,GB,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
120272-12533,D,Green Bay,Green Bay Packers,Packers,10,1,7400,11100,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-26247,K,Brandon,Brandon McManus,McManus,9,1,7000,10500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-87180,K,Matt,Matt Gay,Gay,3,1,6400,9600,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-12552,D,Washington,Washington Commanders,Commanders,9,1,6200,9300,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-166916,WR,Matthew,Matthew Golden,Golden,2.5999999046325684,1,5600,8400,WAS@GB,GB,WAS,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
120272-29780,TE,Zach,Zach Ertz,Ertz,10.100000381469727,1,5200,7800,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-160303,TE,Tucker,Tucker Kraft,Kraft,8.899999618530273,1,5000,7500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-94370,WR,Romeo,Romeo Doubs,Doubs,7.800000190734863,1,4200,6300,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,4,1,3600,5400,WAS@GB,GB,WAS,Q,Calf,,,,MVP - 1.5X Points/AnyFLEX
120272-56248,WR,Noah,Noah Brown,Brown,3.700000047683716,1,3200,4800,WAS@GB,WAS,GB,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
120272-56648,RB,Jeremy,Jeremy McNichols,McNichols,2.5,1,3000,4500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-103547,WR,Luke,Luke McCaffrey,McCaffrey,0,1,2600,3900,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-185861,RB,Emanuel,Emanuel Wilson,Wilson,0.4000000059604645,1,2400,3600,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-128986,WR,Jaylin,Jaylin Lane,Lane,1.600000023841858,1,2200,3300,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,5.166666666666667,6,2000,3000,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-113228,TE,Luke,Luke Musgrave,Musgrave,0.8999999761581421,1,1800,2700,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-137265,TE,Ben,Ben Sinnott,Sinnott,2.3500000635782876,6,1600,2400,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-120642,WR,Savion,Savion Williams,Williams,0.6000000238418579,1,1400,2100,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-72705,TE,John,John Bates,Bates,1.1538461538461537,13,1200,1800,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-91488,RB,Chris,Chris Brooks,Brooks,0.800000011920929,1,1200,1800,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-87691,QB,Malik,Malik Willis,Willis,7.399999891008649,7,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-119697,RB,MarShawn,MarShawn Lloyd,Lloyd,2.299999952316284,1,1000,1500,WAS@GB,GB,WAS,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
120272-86800,TE,Colson,Colson Yankoff,Yankoff,,0,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-33047,WR,Chris,Chris Moore,Moore,3.9000000953674316,1,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-110617,WR,Isaiah,Isaiah Neyor,Neyor,,0,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-63646,TE,Lawrence,Lawrence Cager,Cager,,0,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-138786,WR,Malik,Malik Heath,Heath,4.450000127156575,6,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-167588,WR,Jacoby,Jacoby Jones,Jones,,0,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-87594,QB,Sam,Sam Hartman,Hartman,,0,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-29358,QB,Marcus,Marcus Mariota,Mariota,7.643333435058594,6,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-71352,WR,Mecole,Mecole Hardman,Hardman,2.0923077509953427,13,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-90813,QB,Clayton,Clayton Tune,Tune,-0.3466666539510091,6,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-92606,WR,Bo,Bo Melton,Melton,1.5846154139592097,13,1000,1500,WAS@GB,GB,WAS,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
120272-129219,RB,Israel,Israel Abanikanda,Abanikanda,,0,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-104019,TE,Matt,Matt Orzech,Orzech,0,2,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-8023,QB,Josh,Josh Johnson,Johnson,0.19499999284744263,4,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-54746,TE,Tyler,Tyler Ott,Ott,0,1,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-154461,WR,Ja'Corey,Ja'Corey Brooks,Brooks,,0,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-89185,TE,Ben,Ben Sims,Sims,1.2399999618530273,5,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-91618,TE,John,John FitzPatrick,FitzPatrick,0.699999988079071,1,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-14820,RB,Nick,Nick Bellore,Bellore,0,1,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-87654,WR,Noah,Noah Igbinoghene,Igbinoghene,0,2,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120272-129641,WR,Will,Will Sheppard,Sheppard,,0,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-63851,TE,Tyree,Tyree Jackson,Jackson,,0,1000,1500,WAS@GB,WAS,GB,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
120272-229096,K,Mark,Mark McNamee,McNamee,,0,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-86255,TE,Josh,Josh Whyle,Whyle,3.11999994913737,15,1000,1500,WAS@GB,GB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
120272-152574,RB,Donovan,Donovan Edwards,Edwards,,0,1000,1500,WAS@GB,WAS,GB,,,,,,MVP - 1.5X Points/AnyFLEX
