Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120784-39280,RB,Derrick,Derrick Henry,Henry,17,2,13200,19800,DET@BAL,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
120784-63115,QB,Lamar,Lamar Jackson,Jackson,27.829999923706055,2,12800,19200,DET@BAL,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
120784-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,13.949999809265137,2,11800,17700,DET@BAL,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120784-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,22.100000381469727,2,11400,17100,DET@BAL,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120784-38435,QB,Jared,Jared Goff,Goff,24.43000030517578,2,11000,16500,DET@BAL,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120784-112295,WR,Zay,Zay Flowers,Flowers,19.5,2,9800,14700,DET@BAL,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
120784-111631,WR,Jameson,Jameson Williams,Williams,12.699999809265137,2,8400,12600,DET@BAL,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120784-73273,RB,David,David Montgomery,Montgomery,9.449999809265137,2,7600,11400,DET@BAL,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120784-105646,TE,Sam,Sam LaPorta,LaPorta,7.5,2,6800,10200,DET@BAL,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120784-140491,K,Tyler,Tyler Loop,Loop,12.5,2,6400,9600,DET@BAL,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
120784-12555,D,Baltimore,Baltimore Ravens,Ravens,6,2,6200,9300,DET@BAL,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
120784-52436,TE,Mark,Mark Andrews,Andrews,0.949999988079071,2,6000,9000,DET@BAL,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
120784-140176,K,Jake,Jake Bates,Bates,8.5,2,5800,8700,DET@BAL,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
