MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
120784-38435:Jared Goff,120784-63115:Lamar Jackson,120784-39280:Derrick Henry,120784-112295:Zay Flowers,120784-16606:DeAndre Hopkins,120784-183488:Isaac TeSlaa
120784-73273:David Montgomery,120784-63115:Lamar Jackson,120784-38435:Jared Goff,120784-39280:Derrick Henry,120784-140491:Tyler Loop,120784-16606:DeAndre Hopkins
120784-140491:Tyler Loop,120784-63115:Lamar Jackson,120784-38435:Jared Goff,120784-111631:Jameson Williams,120784-39280:Derrick Henry,120784-16606:DeAndre Hopkins
120784-39280:Derrick Henry,120784-63115:Lamar Jackson,120784-112295:Zay Flowers,120784-140491:Tyler Loop,120784-140176:Jake Bates,120784-16606:DeAndre Hopkins
120784-63115:Lamar Jackson,120784-86997:Amon-Ra St. Brown,120784-38435:Jared Goff,120784-112295:Zay Flowers,120784-16606:DeAndre Hopkins,120784-183488:Isaac TeSlaa
120784-38435:Jared Goff,120784-86997:Amon-Ra St. Brown,120784-63115:Lamar Jackson,120784-112295:Zay Flowers,120784-140491:Tyler Loop,120784-183488:Isaac TeSlaa
120784-63115:Lamar Jackson,120784-38435:Jared Goff,120784-112295:Zay Flowers,120784-105646:Sam LaPorta,120784-140491:Tyler Loop,120784-12532:Detroit Lions
120784-86997:Amon-Ra St. Brown,120784-63115:Lamar Jackson,120784-39280:Derrick Henry,120784-112295:Zay Flowers,120784-16606:DeAndre Hopkins,120784-70422:Kalif Raymond
120784-129368:Jahmyr Gibbs,120784-39280:Derrick Henry,120784-38435:Jared Goff,120784-112295:Zay Flowers,120784-16606:DeAndre Hopkins,120784-70422:Kalif Raymond
120784-63115:Lamar Jackson,120784-38435:Jared Goff,120784-112295:Zay Flowers,120784-140491:Tyler Loop,120784-12555:Baltimore Ravens,120784-52436:Mark Andrews
