#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,,,,
1,Lamar Jackson,QB,BAL,29.4,26.3,,,,,,,,,,,,,,,,,27.8,55.7,Lamar Jackson,,26.3,29.4
2,Daniel Jones,QB,IND,29.5,22.8,,,,,,,,,,,,,,,,,26.2,52.3,Daniel Jones,,22.8,29.5
3,Josh Allen,QB,BUF,38.8,11.8,,,,,,,,,,,,,,,,,25.3,50.6,Josh Allen,,11.8,38.8
4,Patrick Mahomes II,QB,KC,26,23.1,,,,,,,,,,,,,,,,,24.6,49.1,Patrick Mahomes II,QB:KC,23.1,26
5,Justin Herbert,QB,LAC,27.9,18.8,,,,,,,,,,,,,,,,,23.4,46.7,Justin Herbert,,18.8,27.9
6,Jared Goff,QB,DET,11.9,34,,,,,,,,,,,,,,,,,22.9,45.9,Jared Goff,,11.9,34
7,Baker Mayfield,QB,TB,22.6,19.9,,,,,,,,,,,,,,,,,21.2,42.5,Baker Mayfield,,19.9,22.6
8,Russell Wilson,QB,NYG,11.1,31.3,,,,,,,,,,,,,,,,,21.2,42.4,Russell Wilson,QB:NYG,11.1,31.3
9,Caleb Williams,QB,CHI,24.2,18,,,,,,,,,,,,,,,,,21.1,42.2,Caleb Williams,,18,24.2
10,Drake Maye,QB,NE,15.8,26.3,,,,,,,,,,,,,,,,,21,42.1,Drake Maye,,15.8,26.3
11,James Cook III,RB,BUF,16.2,25.5,,,,,,,,,,,,,,,,,20.9,41.7,James Cook III,,16.2,25.5
12,Jayden Daniels,QB,WAS,20.1,19.7,,,,,,,,,,,,,,,,,19.9,39.8,Jayden Daniels,,19.7,20.1
13,Aaron Rodgers,QB,PIT,25.7,12.4,,,,,,,,,,,,,,,,,19,38.1,Aaron Rodgers,,12.4,25.7
14,Javonte Williams,RB,DAL,18.4,19,,,,,,,,,,,,,,,,,18.7,37.4,Javonte Williams,,18.4,19
15,Jonathan Taylor,RB,IND,9.8,27.5,,,,,,,,,,,,,,,,,18.7,37.3,Jonathan Taylor,,9.8,27.5
16,Jordan Love,QB,GB,15.9,20.9,,,,,,,,,,,,,,,,,18.4,36.8,Jordan Love,,15.9,20.9
17,Jalen Hurts,QB,PHI,24.3,11.5,,,,,,,,,,,,,,,,,17.9,35.8,Jalen Hurts,,11.5,24.3
17,Malik Nabers,WR,NYG,7.1,28.7,,,,,,,,,,,,,,,,,17.9,35.8,Malik Nabers,WR:NYG,7.1,28.7
19,Bijan Robinson,RB,ATL,18.4,16.8,,,,,,,,,,,,,,,,,17.6,35.2,Bijan Robinson,,16.8,18.4
20,Amon-Ra St. Brown,WR,DET,4.5,30.2,,,,,,,,,,,,,,,,,17.4,34.7,Amon-Ra St. Brown,,4.5,30.2
21,Rome Odunze,WR,CHI,9.7,24.8,,,,,,,,,,,,,,,,,17.3,34.5,Rome Odunze,,9.7,24.8
22,Spencer Shrader,K,IND,16,18,,,,,,,,,,,,,,,,,17,34,Spencer Shrader,,16,18
23,Justin Fields,QB,NYJ,29.5,4,,,,,,,,,,,,,,,,,16.8,33.5,Justin Fields,,4,29.5
24,Kyler Murray,QB,ARI,18.3,15,,,,,,,,,,,,,,,,,16.7,33.3,Kyler Murray,,15,18.3
25,Spencer Rattler,QB,NO,11.5,21.7,,,,,,,,,,,,,,,,,16.6,33.1,Spencer Rattler,,11.5,21.7
