Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120720-151761,WR,Malik,Malik Nabers,Nabers,22.899999618530273,2,13600,20400,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-57439,QB,Patrick,Patrick Mahomes,Mahomes,24.549999237060547,2,13000,19500,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-22015,QB,Russell,Russell Wilson,Wilson,22.709999084472656,2,12000,18000,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-158974,WR,Xavier,Xavier Worthy,Worthy,0,1,11000,16500,KC@NYG,KC,NYG,Q,Shoulder - labrum,,,,MVP - 1.5X Points/AnyFLEX
120720-86687,WR,Hollywood,Hollywood Brown,Brown,10.199999809265137,2,10400,15600,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-33076,TE,Travis,Travis Kelce,Kelce,9.899999618530273,2,9600,14400,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,17.850000381469727,2,8600,12900,KC@NYG,NYG,KC,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
120720-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,5.800000190734863,2,7800,11700,KC@NYG,NYG,KC,Q,Calf,,,,MVP - 1.5X Points/AnyFLEX
120720-183240,RB,Cam,Cam Skattebo,Skattebo,7.400000095367432,2,7200,10800,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-92575,RB,Isiah,Isiah Pacheco,Pacheco,3.5999999046325684,2,6800,10200,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-12536,D,Kansas City,Kansas City Chiefs,Chiefs,3,2,6400,9600,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-41642,K,Harrison,Harrison Butker,Butker,9,2,6200,9300,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-10744,K,Graham,Graham Gano,Gano,10.5,2,6000,9000,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-12543,D,New York,New York Giants,Giants,2,2,5800,8700,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-45229,RB,Kareem,Kareem Hunt,Hunt,3.75,2,5400,8100,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-89220,WR,Tyquan,Tyquan Thornton,Thornton,9,2,5000,7500,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-70603,RB,Devin,Devin Singletary,Singletary,0.699999988079071,2,4800,7200,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,4.5,2,4400,6600,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-128810,TE,Theo,Theo Johnson,Johnson,3.200000047683716,2,4000,6000,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-63819,WR,Darius,Darius Slayton,Slayton,3.549999952316284,2,3400,5100,KC@NYG,NYG,KC,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
120720-93143,TE,Noah,Noah Gray,Gray,0.699999988079071,2,3000,4500,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-155775,RB,Brashard,Brashard Smith,Smith,0.10000000149011612,2,2400,3600,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-90307,TE,Daniel,Daniel Bellinger,Bellinger,1.899999976158142,1,2000,3000,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-176467,WR,Jalen,Jalen Royals,Royals,,0,1800,2700,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-91481,WR,Nikko,Nikko Remigio,Remigio,1.2999999523162842,2,1600,2400,KC@NYG,KC,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
120720-112455,WR,Xavier,Xavier Gipson,Gipson,-2,1,1400,2100,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-139094,WR,Jalin,Jalin Hyatt,Hyatt,0.9272727099331942,11,1200,1800,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-92545,RB,Keaontay,Keaontay Ingram,Ingram,0,1,1000,1500,KC@NYG,KC,NYG,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
120720-104577,WR,Gunner,Gunner Olszewski,Olszewski,0,2,1000,1500,KC@NYG,NYG,KC,Q,Back,,,,MVP - 1.5X Points/AnyFLEX
120720-114054,WR,Dalen,Dalen Cambre,Cambre,,0,1000,1500,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-152717,WR,Beaux,Beaux Collins,Collins,,0,1000,1500,KC@NYG,NYG,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120720-183693,WR,Da'Quan,Da'Quan Felton,Felton,,0,1000,1500,KC@NYG,NYG,KC,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
