Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120537-62239,QB,Josh,Josh Allen,Allen,26.790000915527344,2,14200,21300,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-138820,RB,De'Von,De'Von Achane,Achane,18.600000381469727,2,12200,18300,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-91626,RB,James,James Cook,Cook,23.850000381469727,2,11600,17400,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-53681,WR,Tyreek,Tyreek Hill,Hill,11.449999809265137,2,11000,16500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,14.930000305175781,2,10800,16200,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-86518,WR,Khalil,Khalil Shakir,Shakir,5.550000190734863,2,9000,13500,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-90573,WR,Jaylen,Jaylen Waddle,Waddle,10.149999618530273,2,8600,12900,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-157467,WR,Keon,Keon Coleman,Coleman,14.149999618530273,2,8000,12000,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-12526,D,Buffalo,Buffalo Bills,Bills,5,2,7400,11100,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-6782,K,Matt,Matt Prater,Prater,13,2,7000,10500,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-145558,TE,Dalton,Dalton Kincaid,Kincaid,9.25,2,6600,9900,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-90949,K,Riley,Riley Patterson,Patterson,11,1,6200,9300,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-12539,D,Miami,Miami Dolphins,Dolphins,4.5,2,6000,9000,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-87418,WR,Joshua,Joshua Palmer,Palmer,7.150000095367432,2,5400,8100,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-25011,TE,Darren,Darren Waller,Waller,,0,4800,7200,MIA@BUF,MIA,BUF,Q,Hip,,,,MVP - 1.5X Points/AnyFLEX
120537-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,2,2,4600,6900,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-63050,RB,Ty,Ty Johnson,Johnson,1.5,2,4200,6300,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-88575,WR,Elijah,Elijah Moore,Moore,5.900000095367432,2,4000,6000,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-166112,RB,Ollie,Ollie Gordon II,Gordon II,1.2999999523162842,2,3600,5400,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-103694,RB,Ray,Ray Davis,Davis,1.5,2,3200,4800,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-152103,RB,Jaylen,Jaylen Wright,Wright,1.9384615971491888,13,3000,4500,MIA@BUF,MIA,BUF,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
120537-110974,WR,Malik,Malik Washington,Washington,6.449999809265137,2,2800,4200,MIA@BUF,MIA,BUF,Q,Thumb,,,,MVP - 1.5X Points/AnyFLEX
120537-64585,TE,Dawson,Dawson Knox,Knox,2.950000047683716,2,2400,3600,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-52613,WR,Curtis,Curtis Samuel,Samuel,4.194117826573989,17,2000,3000,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-72182,WR,Dee,Dee Eskridge,Eskridge,1.350000023841858,2,1800,2700,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-170188,TE,Tanner,Tanner Conner,Conner,3,1,1600,2400,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-90583,WR,Tyrell,Tyrell Shavers,Shavers,0,1,1200,1800,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-200291,TE,Jackson,Jackson Hawes,Hawes,2.200000047683716,2,1200,1800,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-185850,TE,Julian,Julian Hill,Hill,2,1,1200,1800,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,1.1375000476837158,8,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-157975,TE,Keleki,Keleki Latu,Latu,,0,1000,1500,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-139284,RB,Frank,Frank Gore Jr.,Gore Jr.,,0,1000,1500,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-129302,WR,Stephen,Stephen Gosnell,Gosnell,,0,1000,1500,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-91931,TE,Greg,Greg Dulcich,Dulcich,1.3250000476837158,4,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-70426,RB,Reggie,Reggie Gilliam,Gilliam,0.3499999940395355,2,1000,1500,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-114079,TE,Hayden,Hayden Rucci,Rucci,,0,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-52767,K,Jason,Jason Sanders,Sanders,9.764705882352942,17,1000,1500,MIA@BUF,MIA,BUF,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
120537-90406,QB,Zach,Zach Wilson,Wilson,1.5800000429153442,1,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-160938,QB,Quinn,Quinn Ewers,Ewers,,0,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-103083,WR,Theo,Theo Wease Jr.,Wease Jr.,,0,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-65724,RB,JaMycal,JaMycal Hasty,Hasty,2.1636362942782315,11,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-69833,QB,Shane,Shane Buechele,Buechele,,0,1000,1500,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-72776,RB,Alexander,Alexander Mattison,Mattison,7.96000010172526,15,1000,1500,MIA@BUF,MIA,BUF,IR,Neck,,,,MVP - 1.5X Points/AnyFLEX
120537-137567,TE,Jalin,Jalin Conyers,Conyers,,0,1000,1500,MIA@BUF,MIA,BUF,IR,Leg,,,,MVP - 1.5X Points/AnyFLEX
120537-130275,WR,Kristian,Kristian Wilkerson,Wilkerson,8.800000190734863,1,1000,1500,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,0.9800000190734863,1,1000,1500,MIA@BUF,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
120537-63717,RB,Alec,Alec Ingold,Ingold,1.4500000476837158,2,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-65128,K,Tyler,Tyler Bass,Bass,8.75,20,1000,1500,MIA@BUF,BUF,MIA,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
120537-137966,WR,A.J.,A.J. Henning,Henning,,0,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-110834,WR,Tahj,Tahj Washington,Washington,,0,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120537-46200,TE,Daniel,Daniel Brunskill,Brunskill,0,1,1000,1500,MIA@BUF,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
