Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120973-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,14.166666666666666,3,14200,21300,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-102965,QB,Bo,Bo Nix,Nix,14.5,3,12400,18600,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-89493,RB,Chase,Chase Brown,Brown,7.866666793823242,3,12000,18000,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-60840,QB,Jake,Jake Browning,Browning,14.319999694824219,2,11000,16500,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-57403,WR,Courtland,Courtland Sutton,Sutton,13.333333333333334,3,10400,15600,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-87787,RB,J.K.,J.K. Dobbins,Dobbins,14.533332824707031,3,9200,13800,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-89981,WR,Tee,Tee Higgins,Higgins,6.633333206176758,3,9000,13500,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-12531,D,Denver,Denver Broncos,Broncos,7.666666666666667,3,7800,11700,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-151903,WR,Troy,Troy Franklin,Franklin,9.40000025431315,3,7400,11100,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-48380,K,Wil,Wil Lutz,Lutz,7,3,7000,10500,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-86092,K,Evan,Evan McPherson,McPherson,5.666666666666667,3,6600,9900,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-12528,D,Cincinnati,Cincinnati Bengals,Bengals,3.6666666666666665,3,6200,9300,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-110484,RB,RJ,RJ Harvey,Harvey,4.466666539510091,3,5600,8400,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-120093,WR,Marvin,Marvin Mims Jr.,Mims Jr.,3.6666666666666665,3,5200,7800,CIN@DEN,DEN,CIN,Q,Hip,,,,MVP - 1.5X Points/AnyFLEX
120973-71705,TE,Noah,Noah Fant,Fant,6,3,5000,7500,CIN@DEN,CIN,DEN,O,Concussion,,,,MVP - 1.5X Points/AnyFLEX
120973-41872,TE,Evan,Evan Engram,Engram,2.6500000953674316,2,4800,7200,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-185593,WR,Andrei,Andrei Iosivas,Iosivas,1.7000000476837158,1,4200,6300,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-56265,TE,Mike,Mike Gesicki,Gesicki,2.1000000635782876,3,3600,5400,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-130270,TE,Adam,Adam Trautman,Trautman,4.75,2,3000,4500,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-52451,RB,Samaje,Samaje Perine,Perine,0.5666666825612386,3,2600,3900,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-128912,WR,Mitchell,Mitchell Tinsley,Tinsley,3.9000000953674316,2,2200,3300,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-94887,RB,Tyler,Tyler Badie,Badie,2.9000000953674316,2,2000,3000,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-155551,WR,Pat,Pat Bryant,Bryant,2.799999952316284,1,1800,2700,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-56711,TE,Drew,Drew Sample,Sample,3.3999999364217124,3,1600,2400,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-137122,RB,Tahj,Tahj Brooks,Brooks,1.7000000476837158,1,1400,2100,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-83117,TE,Tanner,Tanner Hudson,Hudson,3.2222222222222223,9,1200,1800,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-56059,WR,Trent,Trent Sherfield Sr.,Sherfield Sr.,0.800000011920929,2,1200,1800,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-185728,TE,Patrick,Patrick Murtagh,Murtagh,,0,1000,1500,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,1,1000,1500,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-60947,QB,Jarrett,Jarrett Stidham,Stidham,0.16666666666666666,3,1000,1500,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-143509,TE,Caleb,Caleb Lohner,Lohner,,0,1000,1500,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-93853,WR,Thayer,Thayer Thomas,Thomas,,0,1000,1500,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-114591,TE,William,William Wagner,Wagner,,0,1000,1500,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-137254,RB,Deuce,Deuce Vaughn,Vaughn,1.7166666984558105,6,1000,1500,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-154661,WR,Michael,Michael Bandy,Bandy,,0,1000,1500,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-152232,WR,Jordan,Jordan Moore,Moore,,0,1000,1500,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
120973-88109,RB,Gary,Gary Brightwell,Brightwell,0,1,1000,1500,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
