entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3579187036,120973-276788206,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120973-102965:Bo Nix,120973-85701:Ja'Marr Chase,120973-87787:J.K. Dobbins,120973-151903:Troy Franklin,120973-48380:Wil Lutz,120973-155551:Pat Bryant,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3579187037,120973-276788206,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120973-85701:Ja'Marr Chase,120973-102965:Bo Nix,120973-87787:J.K. Dobbins,120973-48380:Wil Lutz,120973-120093:Marvin Mims Jr.,120973-130270:Adam Trautman,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3579187038,120973-276788206,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120973-102965:Bo Nix,120973-85701:Ja'Marr Chase,120973-89493:Chase Brown,120973-87787:J.K. Dobbins,120973-155551:Pat Bryant,120973-56711:Drew Sample,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3579187039,120973-276788206,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120973-102965:Bo Nix,120973-85701:Ja'Marr Chase,120973-89493:Chase Brown,120973-87787:J.K. Dobbins,120973-56265:Mike Gesicki,120973-56711:Drew Sample,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3579187040,120973-276788206,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120973-85701:Ja'Marr Chase,120973-102965:Bo Nix,120973-87787:J.K. Dobbins,120973-151903:Troy Franklin,120973-185593:Andrei Iosivas,120973-56265:Mike Gesicki,,,,,,,,,,,,,,,,,,,,
3579187041,120973-276788206,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120973-102965:Bo Nix,120973-85701:Ja'Marr Chase,120973-87787:J.K. Dobbins,120973-89981:Tee Higgins,120973-120093:Marvin Mims Jr.,120973-56265:Mike Gesicki,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3579187042,120973-276788206,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120973-102965:Bo Nix,120973-85701:Ja'Marr Chase,120973-89493:Chase Brown,120973-87787:J.K. Dobbins,120973-185593:Andrei Iosivas,120973-155551:Pat Bryant,,120973-85701:Ja'Marr Chase,120973-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,14.16666667,3,14200,21300,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
3579187043,120973-276788206,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120973-89493:Chase Brown,120973-102965:Bo Nix,120973-85701:Ja'Marr Chase,120973-87787:J.K. Dobbins,120973-130270:Adam Trautman,120973-155551:Pat Bryant,,120973-102965:Bo Nix,120973-102965,QB,Bo,Bo Nix,Nix,14.5,3,12400,18600,CIN@DEN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
3579187044,120973-276788206,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120973-85701:Ja'Marr Chase,120973-102965:Bo Nix,120973-89981:Tee Higgins,120973-151903:Troy Franklin,120973-86092:Evan McPherson,120973-130270:Adam Trautman,,120973-89493:Chase Brown,120973-89493,RB,Chase,Chase Brown,Brown,7.866666794,3,12000,18000,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
3579187045,120973-276788206,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,120973-85701:Ja'Marr Chase,120973-102965:Bo Nix,120973-57403:Courtland Sutton,120973-86092:Evan McPherson,120973-56265:Mike Gesicki,120973-130270:Adam Trautman,,120973-60840:Jake Browning,120973-60840,QB,Jake,Jake Browning,Browning,14.31999969,2,11000,16500,CIN@DEN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
