Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120969-72731,RB,Josh,Josh Jacobs,Jacobs,12.59999974568685,3,13400,20100,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
120969-69017,QB,Jordan,Jordan Love,Love,16.306666056315105,3,13000,19500,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
120969-31716,QB,Dak,Dak Prescott,Prescott,16,3,12800,19200,GB@DAL,DAL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120969-110246,WR,George,George Pickens,Pickens,11.699999491373697,3,10600,15900,GB@DAL,DAL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120969-93541,RB,Javonte,Javonte Williams,Williams,17.03333282470703,3,10200,15300,GB@DAL,DAL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120969-89680,TE,Jake,Jake Ferguson,Ferguson,10.59999974568685,3,9200,13800,GB@DAL,DAL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120969-160303,TE,Tucker,Tucker Kraft,Kraft,12.566666920979818,3,9000,13500,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
120969-94370,WR,Romeo,Romeo Doubs,Doubs,7.200000127156575,3,8000,12000,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
120969-189471,K,Brandon,Brandon Aubrey,Aubrey,13.666666666666666,3,7400,11100,GB@DAL,DAL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
120969-12533,D,Green Bay,Green Bay Packers,Packers,7.666666666666667,3,7000,10500,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
120969-26247,K,Brandon,Brandon McManus,McManus,8,3,6800,10200,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
120969-166916,WR,Matthew,Matthew Golden,Golden,4.066666603088379,3,6600,9900,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
