entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3577840102,120969-276733042,$15K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120969-72731:Josh Jacobs,120969-89680:Jake Ferguson,120969-189471:Brandon Aubrey,120969-12533:Green Bay Packers,120969-26247:Brandon McManus,120969-110457:Dontayvion Wicks,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3577840104,120969-276733042,$15K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120969-72731:Josh Jacobs,120969-94370:Romeo Doubs,120969-12533:Green Bay Packers,120969-110457:Dontayvion Wicks,120969-60957:KaVontae Turpin,120969-88548:Jalen Tolbert,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3577840108,120969-276733042,$15K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120969-72731:Josh Jacobs,120969-110246:George Pickens,120969-160303:Tucker Kraft,120969-189471:Brandon Aubrey,120969-26247:Brandon McManus,120969-110457:Dontayvion Wicks,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3577840111,120969-276733042,$15K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120969-72731:Josh Jacobs,120969-89680:Jake Ferguson,120969-160303:Tucker Kraft,120969-12533:Green Bay Packers,120969-110457:Dontayvion Wicks,120969-88548:Jalen Tolbert,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3577840116,120969-276733042,$15K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120969-69017:Jordan Love,120969-31716:Dak Prescott,120969-94370:Romeo Doubs,120969-166916:Matthew Golden,120969-60957:KaVontae Turpin,120969-88548:Jalen Tolbert,,,,,,,,,,,,,,,,,,,,
3577840118,120969-276733042,$15K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120969-69017:Jordan Love,120969-93541:Javonte Williams,120969-94370:Romeo Doubs,120969-26247:Brandon McManus,120969-110457:Dontayvion Wicks,120969-88548:Jalen Tolbert,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3577840121,120969-276733042,$15K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120969-69017:Jordan Love,120969-31716:Dak Prescott,120969-89680:Jake Ferguson,120969-94370:Romeo Doubs,120969-60957:KaVontae Turpin,120969-88548:Jalen Tolbert,,120969-72731:Josh Jacobs,120969-72731,RB,Josh,Josh Jacobs,Jacobs,12.59999975,3,13400,20100,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
3577840124,120969-276733042,$15K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120969-69017:Jordan Love,120969-160303:Tucker Kraft,120969-94370:Romeo Doubs,120969-26247:Brandon McManus,120969-60957:KaVontae Turpin,120969-88548:Jalen Tolbert,,120969-69017:Jordan Love,120969-69017,QB,Jordan,Jordan Love,Love,16.30666606,3,13000,19500,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
3577840126,120969-276733042,$15K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120969-31716:Dak Prescott,120969-69017:Jordan Love,120969-12533:Green Bay Packers,120969-26247:Brandon McManus,120969-166916:Matthew Golden,120969-88548:Jalen Tolbert,,120969-31716:Dak Prescott,120969-31716,QB,Dak,Dak Prescott,Prescott,16,3,12800,19200,GB@DAL,DAL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
3577840129,120969-276733042,$15K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120969-31716:Dak Prescott,120969-69017:Jordan Love,120969-89680:Jake Ferguson,120969-94370:Romeo Doubs,120969-60957:KaVontae Turpin,120969-88548:Jalen Tolbert,,120969-110246:George Pickens,120969-110246,WR,George,George Pickens,Pickens,11.69999949,3,10600,15900,GB@DAL,DAL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120969-93541:Javonte Williams,120969-93541,RB,Javonte,Javonte Williams,Williams,17.03333282,3,10200,15300,GB@DAL,DAL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120969-89680:Jake Ferguson,120969-89680,TE,Jake,Jake Ferguson,Ferguson,10.59999975,3,9200,13800,GB@DAL,DAL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120969-160303:Tucker Kraft,120969-160303,TE,Tucker,Tucker Kraft,Kraft,12.56666692,3,9000,13500,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120969-94370:Romeo Doubs,120969-94370,WR,Romeo,Romeo Doubs,Doubs,7.200000127,3,8000,12000,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120969-189471:Brandon Aubrey,120969-189471,K,Brandon,Brandon Aubrey,Aubrey,13.66666667,3,7400,11100,GB@DAL,DAL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120969-12533:Green Bay Packers,120969-12533,D,Green Bay,Green Bay Packers,Packers,7.666666667,3,7000,10500,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120969-26247:Brandon McManus,120969-26247,K,Brandon,Brandon McManus,McManus,8,3,6800,10200,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120969-166916:Matthew Golden,120969-166916,WR,Matthew,Matthew Golden,Golden,4.066666603,3,6600,9900,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120969-110457:Dontayvion Wicks,120969-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,4.5,3,6000,9000,GB@DAL,GB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
