Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120794-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,17.766666412353516,3,13000,19500,SEA@ARI,SEA,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
120794-63484,QB,Kyler,Kyler Murray,Murray,15.793333689371744,3,12600,18900,SEA@ARI,ARI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
120794-63589,QB,Sam,Sam Darnold,Darnold,13.306666056315104,3,12000,18000,SEA@ARI,SEA,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
120794-103342,RB,Kenneth,Kenneth Walker III,Walker III,14.233333587646484,3,11600,17400,SEA@ARI,SEA,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
120794-91750,TE,Trey,Trey McBride,McBride,10.90000025431315,3,10800,16200,SEA@ARI,ARI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
120794-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,8.40000025431315,3,9800,14700,SEA@ARI,ARI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
120794-142042,RB,Trey,Trey Benson,Benson,7,3,9200,13800,SEA@ARI,ARI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
120794-79970,WR,Cooper,Cooper Kupp,Kupp,6.366666793823242,3,7400,11100,SEA@ARI,SEA,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
120794-12550,D,Seattle,Seattle Seahawks,Seahawks,13.333333333333334,3,7200,10800,SEA@ARI,SEA,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
120794-60745,K,Jason,Jason Myers,Myers,11.333333333333334,3,7000,10500,SEA@ARI,SEA,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
120794-103376,RB,Zach,Zach Charbonnet,Charbonnet,5.849999904632568,2,6800,10200,SEA@ARI,SEA,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
120794-86750,K,Chad,Chad Ryland,Ryland,9.333333333333334,3,6200,9300,SEA@ARI,ARI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
120794-12546,D,Arizona,Arizona Cardinals,Cardinals,8,3,6000,9000,SEA@ARI,ARI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
