entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3576369741,120794-276669238,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,120794-129458:Jaxon Smith-Njigba,120794-63484:Kyler Murray,120794-103342:Kenneth Walker III,120794-12546:Arizona Cardinals,120794-134837:Tory Horton,120794-137953:AJ Barner,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3576369742,120794-276669238,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,120794-63484:Kyler Murray,120794-91750:Trey McBride,120794-142042:Trey Benson,120794-12550:Seattle Seahawks,120794-60745:Jason Myers,120794-134837:Tory Horton,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3576369744,120794-276669238,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,120794-86750:Chad Ryland,120794-63484:Kyler Murray,120794-63589:Sam Darnold,120794-152651:Marvin Harrison Jr.,120794-129458:Jaxon Smith-Njigba,120794-69558:Greg Dortch,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3576369746,120794-276669238,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,120794-137953:AJ Barner,120794-63484:Kyler Murray,120794-63589:Sam Darnold,120794-103342:Kenneth Walker III,120794-129458:Jaxon Smith-Njigba,120794-69558:Greg Dortch,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3576369748,120794-276669238,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,120794-63484:Kyler Murray,120794-91750:Trey McBride,120794-142042:Trey Benson,120794-60745:Jason Myers,120794-86750:Chad Ryland,120794-89612:Michael Wilson,,,,,,,,,,,,,,,,,,,,
3576369750,120794-276669238,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,120794-152651:Marvin Harrison Jr.,120794-63484:Kyler Murray,120794-63589:Sam Darnold,120794-129458:Jaxon Smith-Njigba,120794-137953:AJ Barner,120794-69558:Greg Dortch,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3576369751,120794-276669238,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,120794-63589:Sam Darnold,120794-129458:Jaxon Smith-Njigba,120794-103342:Kenneth Walker III,120794-142042:Trey Benson,120794-137953:AJ Barner,120794-69558:Greg Dortch,,120794-129458:Jaxon Smith-Njigba,120794-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,17.76666641,3,13000,19500,SEA@ARI,SEA,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
3576369752,120794-276669238,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,120794-63589:Sam Darnold,120794-63484:Kyler Murray,120794-91750:Trey McBride,120794-142042:Trey Benson,120794-89612:Michael Wilson,120794-137953:AJ Barner,,120794-63484:Kyler Murray,120794-63484,QB,Kyler,Kyler Murray,Murray,15.79333369,3,12600,18900,SEA@ARI,ARI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
3576369753,120794-276669238,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,120794-63484:Kyler Murray,120794-63589:Sam Darnold,120794-91750:Trey McBride,120794-142042:Trey Benson,120794-89612:Michael Wilson,120794-69558:Greg Dortch,,120794-63589:Sam Darnold,120794-63589,QB,Sam,Sam Darnold,Darnold,13.30666606,3,12000,18000,SEA@ARI,SEA,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
3576369755,120794-276669238,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,120794-89612:Michael Wilson,120794-79970:Cooper Kupp,120794-63589:Sam Darnold,120794-91750:Trey McBride,120794-142042:Trey Benson,120794-63484:Kyler Murray,,120794-103342:Kenneth Walker III,120794-103342,RB,Kenneth,Kenneth Walker III,Walker III,14.23333359,3,11600,17400,SEA@ARI,SEA,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
