Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121293-57439,QB,Patrick,Patrick Mahomes,Mahomes,22.389999389648438,4,13800,20700,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,7.5,4,12600,18900,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,17.399999618530273,4,11800,17700,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-89951,QB,Trevor,Trevor Lawrence,Lawrence,13.25,4,11200,16800,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-158974,WR,Xavier,Xavier Worthy,Worthy,7.300000190734863,2,10600,15900,KC@JAC,KC,JAC,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
121293-33076,TE,Travis,Travis Kelce,Kelce,7.925000190734863,4,9200,13800,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-92575,RB,Isiah,Isiah Pacheco,Pacheco,6.074999809265137,4,8400,12600,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-61798,QB,Gardner,Gardner Minshew II,Minshew II,-0.30000001192092896,1,8000,12000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-86687,WR,Hollywood,Hollywood Brown,Brown,9.475000381469727,4,7800,11700,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-89220,WR,Tyquan,Tyquan Thornton,Thornton,10.300000190734863,4,7400,11100,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-41642,K,Harrison,Harrison Butker,Butker,11,4,7200,10800,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-41562,QB,Nick,Nick Mullens,Mullens,0.33000001311302185,4,7000,10500,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-154442,K,Cam,Cam Little,Little,9.75,4,6800,10200,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.5,4,6600,9900,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,11.5,4,6200,9300,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,7.025000095367432,4,6000,9000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-160620,RB,Bhayshul,Bhayshul Tuten,Tuten,6.574999809265137,4,5600,8400,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-45229,RB,Kareem,Kareem Hunt,Hunt,5.900000095367432,4,5200,7800,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-137516,WR,Parker,Parker Washington,Washington,5.349999904632568,4,5000,7500,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-184184,WR,Travis,Travis Hunter,Hunter,4.574999809265137,4,4800,7200,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-103587,TE,Brenton,Brenton Strange,Strange,6.925000190734863,4,4600,6900,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121293-93538,WR,Dyami,Dyami Brown,Brown,8.033333460489908,3,4000,6000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
