Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121217-62239,QB,Josh,Josh Allen,Allen,25.614999771118164,4,14200,21300,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-91626,RB,James,James Cook III,Cook III,23.5,4,13000,19500,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-152316,QB,Drake,Drake Maye,Maye,21.5049991607666,4,12600,18900,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-86518,WR,Khalil,Khalil Shakir,Shakir,9.75,4,10200,15300,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,7.724999904632568,4,10000,15000,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-25079,WR,Stefon,Stefon Diggs,Diggs,8.449999809265137,4,9200,13800,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-145558,TE,Dalton,Dalton Kincaid,Kincaid,10.725000381469727,4,8600,12900,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-40845,TE,Hunter,Hunter Henry,Henry,11.475000381469727,4,8200,12300,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-40407,QB,Joshua,Joshua Dobbs,Dobbs,-0.20000000298023224,1,8000,12000,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-157467,WR,Keon,Keon Coleman,Coleman,9.449999809265137,4,7600,11400,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,7.525000095367432,4,7200,10800,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,0.9800000190734863,1,7000,10500,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-65128,K,Tyler,Tyler Bass,Bass,8.75,20,6800,10200,NE@BUF,BUF,NE,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
121217-6782,K,Matt,Matt Prater,Prater,10.25,4,6800,10200,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-12526,D,Buffalo,Buffalo Bills,Bills,4.5,4,6600,9900,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-152260,K,Andy,Andy Borregales,Borregales,6.25,4,6200,9300,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-12541,D,New England,New England Patriots,Patriots,8.25,4,6000,9000,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-119653,WR,Kayshon,Kayshon Boutte,Boutte,7.625,4,5800,8700,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-90933,RB,Antonio,Antonio Gibson,Gibson,4.775000095367432,4,5400,8100,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-87418,WR,Joshua,Joshua Palmer,Palmer,4.699999809265137,4,5000,7500,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-88575,WR,Elijah,Elijah Moore,Moore,4.224999904632568,4,4600,6900,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-111876,WR,DeMario,DeMario Douglas,Douglas,3.3999999364217124,3,4200,6300,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-25267,WR,Mack,Mack Hollins,Hollins,4.925000190734863,4,3800,5700,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-103694,RB,Ray,Ray Davis,Davis,0.824999988079071,4,3400,5100,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
121217-40126,TE,Austin,Austin Hooper,Hooper,3.375,4,2800,4200,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121217-63050,RB,Ty,Ty Johnson,Johnson,1.399999976158142,4,2600,3900,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
