entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3581418796,121217-276863214,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121217-25267:Mack Hollins,121217-119653:Kayshon Boutte,121217-91626:James Cook III,121217-152316:Drake Maye,121217-145558:Dalton Kincaid,121217-62239:Josh Allen,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3581418797,121217-276863214,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121217-62239:Josh Allen,121217-91626:James Cook III,121217-145558:Dalton Kincaid,121217-6782:Matt Prater,121217-12541:New England Patriots,121217-25267:Mack Hollins,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3581418798,121217-276863214,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121217-62239:Josh Allen,121217-91626:James Cook III,121217-157467:Keon Coleman,121217-6782:Matt Prater,121217-119653:Kayshon Boutte,121217-87418:Joshua Palmer,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3581418799,121217-276863214,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121217-87418:Joshua Palmer,121217-91626:James Cook III,121217-152316:Drake Maye,121217-145558:Dalton Kincaid,121217-62239:Josh Allen,121217-25267:Mack Hollins,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3581418800,121217-276863214,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121217-152316:Drake Maye,121217-62239:Josh Allen,121217-86518:Khalil Shakir,121217-6782:Matt Prater,121217-119653:Kayshon Boutte,121217-25267:Mack Hollins,,,,,,,,,,,,,,,,,,,,
3581418801,121217-276863214,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121217-6782:Matt Prater,121217-91626:James Cook III,121217-152316:Drake Maye,121217-62239:Josh Allen,121217-119653:Kayshon Boutte,121217-25267:Mack Hollins,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3581418802,121217-276863214,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121217-62239:Josh Allen,121217-91626:James Cook III,121217-40845:Hunter Henry,121217-6782:Matt Prater,121217-119653:Kayshon Boutte,121217-25267:Mack Hollins,,121217-62239:Josh Allen,121217-62239,QB,Josh,Josh Allen,Allen,25.61499977,4,14200,21300,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
3581418803,121217-276863214,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121217-62239:Josh Allen,121217-91626:James Cook III,121217-145558:Dalton Kincaid,121217-6782:Matt Prater,121217-119653:Kayshon Boutte,121217-25267:Mack Hollins,,121217-91626:James Cook III,121217-91626,RB,James,James Cook III,Cook III,23.5,4,13000,19500,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
3581418805,121217-276863214,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121217-91626:James Cook III,121217-62239:Josh Allen,121217-40845:Hunter Henry,121217-6782:Matt Prater,121217-119653:Kayshon Boutte,121217-25267:Mack Hollins,,121217-152316:Drake Maye,121217-152316,QB,Drake,Drake Maye,Maye,21.50499916,4,12600,18900,NE@BUF,NE,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
3581418806,121217-276863214,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121217-152316:Drake Maye,121217-62239:Josh Allen,121217-25079:Stefon Diggs,121217-157467:Keon Coleman,121217-119653:Kayshon Boutte,121217-25267:Mack Hollins,,121217-86518:Khalil Shakir,121217-86518,WR,Khalil,Khalil Shakir,Shakir,9.75,4,10200,15300,NE@BUF,BUF,NE,,,,,,MVP - 1.5X Points/AnyFLEX
