Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121030-55050,RB,Christian,Christian McCaffrey,McCaffrey,20.125,4,13200,19800,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121030-103020,WR,Puka,Puka Nacua,Nacua,24.375,4,12800,19200,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121030-6654,QB,Matthew,Matthew Stafford,Stafford,19.290000915527344,4,11800,17700,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121030-85607,QB,Brock,Brock Purdy,Purdy,20.719999313354492,2,11200,16800,SF@LAR,SF,LAR,Q,Toe,,,,MVP - 1.5X Points/AnyFLEX
121030-104433,RB,Kyren,Kyren Williams,Williams,12.375,4,10800,16200,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121030-45889,WR,Davante,Davante Adams,Adams,14.100000381469727,4,9800,14700,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121030-102796,WR,Ricky,Ricky Pearsall,Pearsall,12.074999809265137,4,9000,13500,SF@LAR,SF,LAR,Q,Knee - pcl,,,,MVP - 1.5X Points/AnyFLEX
121030-61593,WR,Jauan,Jauan Jennings,Jennings,8.466666539510092,3,8200,12300,SF@LAR,SF,LAR,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
121030-12538,D,Los Angeles,Los Angeles Rams,Rams,8.5,4,6600,9900,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121030-133172,K,Joshua,Joshua Karty,Karty,9.5,4,6400,9600,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121030-69307,K,Eddy,Eddy Pineiro,Pineiro,9.666666666666666,3,6200,9300,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121030-91467,TE,Jake,Jake Tonges,Tonges,7.625,4,6000,9000,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121030-12549,D,San Francisco,San Francisco 49ers,49ers,5,4,5800,8700,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121030-38264,WR,Demarcus,Demarcus Robinson,Robinson,2.5,1,5200,7800,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121030-137967,RB,Blake,Blake Corum,Corum,5.099999904632568,4,4400,6600,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
