entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3580172791,121030-276794563,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121030-90584:Mac Jones,121030-45889:Davante Adams,121030-103020:Puka Nacua,121030-6654:Matthew Stafford,121030-104433:Kyren Williams,121030-55050:Christian McCaffrey,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3580172792,121030-276794563,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121030-103020:Puka Nacua,121030-55050:Christian McCaffrey,121030-6654:Matthew Stafford,121030-104433:Kyren Williams,121030-80289:Kendrick Bourne,121030-90584:Mac Jones,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3580172793,121030-276794563,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121030-90584:Mac Jones,121030-38264:Demarcus Robinson,121030-103020:Puka Nacua,121030-6654:Matthew Stafford,121030-104433:Kyren Williams,121030-55050:Christian McCaffrey,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3580172794,121030-276794563,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121030-55050:Christian McCaffrey,121030-103020:Puka Nacua,121030-6654:Matthew Stafford,121030-104433:Kyren Williams,121030-80289:Kendrick Bourne,121030-90584:Mac Jones,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3580172795,121030-276794563,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121030-6654:Matthew Stafford,121030-103020:Puka Nacua,121030-55050:Christian McCaffrey,121030-45889:Davante Adams,121030-80289:Kendrick Bourne,121030-90584:Mac Jones,,,,,,,,,,,,,,,,,,,,
3580172796,121030-276794563,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121030-104433:Kyren Williams,121030-103020:Puka Nacua,121030-6654:Matthew Stafford,121030-55050:Christian McCaffrey,121030-80289:Kendrick Bourne,121030-90584:Mac Jones,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3580172797,121030-276794563,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121030-6654:Matthew Stafford,121030-55050:Christian McCaffrey,121030-104433:Kyren Williams,121030-45889:Davante Adams,121030-69307:Eddy Pineiro,121030-90584:Mac Jones,,121030-55050:Christian McCaffrey,121030-55050,RB,Christian,Christian McCaffrey,McCaffrey,20.125,4,13200,19800,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
3580172799,121030-276794563,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121030-6654:Matthew Stafford,121030-103020:Puka Nacua,121030-55050:Christian McCaffrey,121030-104433:Kyren Williams,121030-102831:Davis Allen,121030-90584:Mac Jones,,121030-103020:Puka Nacua,121030-103020,WR,Puka,Puka Nacua,Nacua,24.375,4,12800,19200,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
3580172800,121030-276794563,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121030-103020:Puka Nacua,121030-6654:Matthew Stafford,121030-104433:Kyren Williams,121030-45889:Davante Adams,121030-69307:Eddy Pineiro,121030-90584:Mac Jones,,121030-6654:Matthew Stafford,121030-6654,QB,Matthew,Matthew Stafford,Stafford,19.29000092,4,11800,17700,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
3580172801,121030-276794563,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121030-103020:Puka Nacua,121030-55050:Christian McCaffrey,121030-6654:Matthew Stafford,121030-12538:Los Angeles Rams,121030-69307:Eddy Pineiro,121030-90584:Mac Jones,,121030-85607:Brock Purdy,121030-85607,QB,Brock,Brock Purdy,Purdy,20.71999931,2,11200,16800,SF@LAR,SF,LAR,O,Toe,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121030-104433:Kyren Williams,121030-104433,RB,Kyren,Kyren Williams,Williams,12.375,4,10800,16200,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121030-45889:Davante Adams,121030-45889,WR,Davante,Davante Adams,Adams,14.10000038,4,9800,14700,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121030-102796:Ricky Pearsall,121030-102796,WR,Ricky,Ricky Pearsall,Pearsall,12.07499981,4,9000,13500,SF@LAR,SF,LAR,O,Knee - pcl,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121030-61593:Jauan Jennings,121030-61593,WR,Jauan,Jauan Jennings,Jennings,8.46666654,3,8200,12300,SF@LAR,SF,LAR,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121030-12538:Los Angeles Rams,121030-12538,D,Los Angeles,Los Angeles Rams,Rams,8.5,4,6600,9900,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121030-133172:Joshua Karty,121030-133172,K,Joshua,Joshua Karty,Karty,9.5,4,6400,9600,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121030-69307:Eddy Pineiro,121030-69307,K,Eddy,Eddy Pineiro,Pineiro,9.666666667,3,6200,9300,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121030-91467:Jake Tonges,121030-91467,TE,Jake,Jake Tonges,Tonges,7.625,4,6000,9000,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121030-12549:San Francisco 49ers,121030-12549,D,San Francisco,San Francisco 49ers,49ers,5,4,5800,8700,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121030-38264:Demarcus Robinson,121030-38264,WR,Demarcus,Demarcus Robinson,Robinson,2.5,1,5200,7800,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
