Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121479-62239,QB,Josh,Josh Allen,Allen,24.575999450683593,5,14000,21000,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121479-136855,RB,Bijan,Bijan Robinson,Robinson,22.100000381469727,4,12800,19200,BUF@ATL,ATL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121479-91626,RB,James,James Cook III,Cook III,19.780000305175783,5,12000,18000,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121479-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,14.454999923706055,4,11000,16500,BUF@ATL,ATL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121479-112745,WR,Drake,Drake London,London,11.475000381469727,4,10200,15300,BUF@ATL,ATL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121479-86518,WR,Khalil,Khalil Shakir,Shakir,9.4,5,9400,14100,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121479-22038,QB,Kirk,Kirk Cousins,Cousins,1.159999966621399,1,9000,13500,BUF@ATL,ATL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121479-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,0.9800000190734863,1,9000,13500,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121479-145558,TE,Dalton,Dalton Kincaid,Kincaid,11.94000015258789,5,8400,12600,BUF@ATL,BUF,ATL,Q,Oblique,,,,MVP - 1.5X Points/AnyFLEX
121479-69777,WR,Darnell,Darnell Mooney,Mooney,3.7999998728434243,3,8200,12300,BUF@ATL,ATL,BUF,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121479-12526,D,Buffalo,Buffalo Bills,Bills,4.8,5,7200,10800,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121479-65128,K,Tyler,Tyler Bass,Bass,8.75,20,7000,10500,BUF@ATL,BUF,ATL,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
121479-6782,K,Matt,Matt Prater,Prater,10,5,6800,10200,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121479-88035,K,Parker,Parker Romo,Romo,9.333333333333334,3,6400,9600,BUF@ATL,ATL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121479-157467,WR,Keon,Keon Coleman,Coleman,9.219999694824219,5,6000,9000,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121479-86080,TE,Kyle,Kyle Pitts Sr.,Pitts Sr.,9.125,4,5800,8700,BUF@ATL,ATL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121479-12525,D,Atlanta,Atlanta Falcons,Falcons,7.25,4,5600,8400,BUF@ATL,ATL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121479-90428,RB,Tyler,Tyler Allgeier,Allgeier,7.224999904632568,4,5000,7500,BUF@ATL,ATL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121479-87418,WR,Joshua,Joshua Palmer,Palmer,4.679999923706054,5,4400,6600,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121479-88575,WR,Elijah,Elijah Moore,Moore,4.224999904632568,4,3800,5700,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121479-52613,WR,Curtis,Curtis Samuel,Samuel,5.5,2,3400,5100,BUF@ATL,BUF,ATL,Q,Neck,,,,MVP - 1.5X Points/AnyFLEX
121479-62055,WR,Ray-Ray,Ray-Ray McCloud III,McCloud III,2.3499999046325684,4,3000,4500,BUF@ATL,ATL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121479-128765,RB,Nathan,Nathan Carter,Carter,2.5999999046325684,1,2800,4200,BUF@ATL,ATL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
121479-103694,RB,Ray,Ray Davis,Davis,0.6800000190734863,5,2400,3600,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121479-63050,RB,Ty,Ty Johnson,Johnson,1.3199999809265137,5,2000,3000,BUF@ATL,BUF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
