Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121480-102785,QB,Jayden,Jayden Daniels,Daniels,18.986666361490887,3,13600,20400,CHI@WAS,WAS,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
121480-152113,QB,Caleb,Caleb Williams,Williams,21.020000457763672,4,12400,18600,CHI@WAS,CHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121480-120033,WR,Rome,Rome Odunze,Odunze,18.149999618530273,4,12000,18000,CHI@WAS,CHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121480-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,14.719999694824219,5,11200,16800,CHI@WAS,WAS,CHI,Q,Heel,,,,MVP - 1.5X Points/AnyFLEX
121480-91598,RB,D'Andre,D'Andre Swift,Swift,10.925000190734863,4,10200,15300,CHI@WAS,CHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121480-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,12.240000152587891,5,9600,14400,CHI@WAS,WAS,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
121480-29358,QB,Marcus,Marcus Mariota,Mariota,18.760000228881836,2,9000,13500,CHI@WAS,WAS,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
121480-185776,QB,Tyson,Tyson Bagent,Bagent,1.7799999713897705,1,9000,13500,CHI@WAS,CHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121480-56250,WR,Terry,Terry McLaurin,McLaurin,6.633333206176758,3,8800,13200,CHI@WAS,WAS,CHI,O,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
121480-63043,WR,DJ,DJ Moore,Moore,7.699999809265137,4,8400,12600,CHI@WAS,CHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121480-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,3.5,3,7200,10800,CHI@WAS,WAS,CHI,Q,Calf,,,,MVP - 1.5X Points/AnyFLEX
121480-56648,RB,Jeremy,Jeremy McNichols,McNichols,4.849999904632568,4,7000,10500,CHI@WAS,WAS,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
