entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3587674484,121480-277021022,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121480-102785:Jayden Daniels,121480-152113:Caleb Williams,121480-91598:D'Andre Swift,121480-87180:Matt Gay,121480-29780:Zach Ertz,121480-91047:Cole Kmet,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3587674489,121480-277021022,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121480-102785:Jayden Daniels,121480-152113:Caleb Williams,121480-91598:D'Andre Swift,121480-29780:Zach Ertz,121480-103547:Luke McCaffrey,121480-91047:Cole Kmet,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3587674491,121480-277021022,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121480-152113:Caleb Williams,121480-102785:Jayden Daniels,121480-91598:D'Andre Swift,121480-63043:DJ Moore,121480-103547:Luke McCaffrey,121480-91047:Cole Kmet,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3587674495,121480-277021022,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121480-152113:Caleb Williams,121480-102785:Jayden Daniels,121480-120033:Rome Odunze,121480-87180:Matt Gay,121480-103547:Luke McCaffrey,121480-91047:Cole Kmet,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3587674498,121480-277021022,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121480-102785:Jayden Daniels,121480-120033:Rome Odunze,121480-56018:Deebo Samuel Sr.,121480-87180:Matt Gay,121480-29780:Zach Ertz,121480-91047:Cole Kmet,,,,,,,,,,,,,,,,,,,,
3587674502,121480-277021022,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121480-102785:Jayden Daniels,121480-56018:Deebo Samuel Sr.,121480-117178:Jacory Croskey-Merritt,121480-12552:Washington Commanders,121480-87180:Matt Gay,121480-91047:Cole Kmet,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3587674505,121480-277021022,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121480-152113:Caleb Williams,121480-102785:Jayden Daniels,121480-91598:D'Andre Swift,121480-87180:Matt Gay,121480-29780:Zach Ertz,121480-103547:Luke McCaffrey,,121480-102785:Jayden Daniels,121480-102785,QB,Jayden,Jayden Daniels,Daniels,18.98666636,3,13600,20400,CHI@WAS,WAS,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
3587674508,121480-277021022,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121480-117178:Jacory Croskey-Merritt,121480-120033:Rome Odunze,121480-56018:Deebo Samuel Sr.,121480-152113:Caleb Williams,121480-29780:Zach Ertz,121480-91047:Cole Kmet,,121480-152113:Caleb Williams,121480-152113,QB,Caleb,Caleb Williams,Williams,21.02000046,4,12400,18600,CHI@WAS,CHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
3587674511,121480-277021022,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121480-102785:Jayden Daniels,121480-152113:Caleb Williams,121480-56018:Deebo Samuel Sr.,121480-87180:Matt Gay,121480-103547:Luke McCaffrey,121480-91047:Cole Kmet,,121480-120033:Rome Odunze,121480-120033,WR,Rome,Rome Odunze,Odunze,18.14999962,4,12000,18000,CHI@WAS,CHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
3587674515,121480-277021022,$10K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121480-102785:Jayden Daniels,121480-152113:Caleb Williams,121480-56018:Deebo Samuel Sr.,121480-91372:Jake Moody,121480-29780:Zach Ertz,121480-91047:Cole Kmet,,121480-56018:Deebo Samuel Sr.,121480-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,14.71999969,5,11200,16800,CHI@WAS,WAS,CHI,Q,Heel,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121480-91598:D'Andre Swift,121480-91598,RB,D'Andre,D'Andre Swift,Swift,10.92500019,4,10200,15300,CHI@WAS,CHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121480-117178:Jacory Croskey-Merritt,121480-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,12.24000015,5,9600,14400,CHI@WAS,WAS,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121480-29358:Marcus Mariota,121480-29358,QB,Marcus,Marcus Mariota,Mariota,18.76000023,2,9000,13500,CHI@WAS,WAS,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
