entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3586325489,121465-276980131,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121465-57439:Patrick Mahomes,121465-38435:Jared Goff,121465-86997:Amon-Ra St. Brown,121465-12532:Detroit Lions,121465-45229:Kareem Hunt,121465-89220:Tyquan Thornton,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3586325491,121465-276980131,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121465-57439:Patrick Mahomes,121465-129368:Jahmyr Gibbs,121465-33076:Travis Kelce,121465-92575:Isiah Pacheco,121465-105646:Sam LaPorta,121465-86687:Hollywood Brown,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3586325492,121465-276980131,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121465-86997:Amon-Ra St. Brown,121465-38435:Jared Goff,121465-111631:Jameson Williams,121465-92575:Isiah Pacheco,121465-105646:Sam LaPorta,121465-45229:Kareem Hunt,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3586325494,121465-276980131,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121465-38435:Jared Goff,121465-129368:Jahmyr Gibbs,121465-73273:David Montgomery,121465-111631:Jameson Williams,121465-41642:Harrison Butker,121465-55987:JuJu Smith-Schuster,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3586325495,121465-276980131,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121465-38435:Jared Goff,121465-129368:Jahmyr Gibbs,121465-57439:Patrick Mahomes,121465-86687:Hollywood Brown,121465-55987:JuJu Smith-Schuster,121465-183488:Isaac TeSlaa,,,,,,,,,,,,,,,,,,,,
3586325500,121465-276980131,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121465-129368:Jahmyr Gibbs,121465-38435:Jared Goff,121465-57439:Patrick Mahomes,121465-41642:Harrison Butker,121465-86687:Hollywood Brown,121465-183488:Isaac TeSlaa,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3586325501,121465-276980131,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121465-129368:Jahmyr Gibbs,121465-86997:Amon-Ra St. Brown,121465-158974:Xavier Worthy,121465-92575:Isiah Pacheco,121465-140176:Jake Bates,121465-183488:Isaac TeSlaa,,121465-86997:Amon-Ra St. Brown,121465-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,20.18000031,5,13000,19500,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3586325505,121465-276980131,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121465-92575:Isiah Pacheco,121465-57439:Patrick Mahomes,121465-73273:David Montgomery,121465-33076:Travis Kelce,121465-86997:Amon-Ra St. Brown,121465-89220:Tyquan Thornton,,121465-129368:Jahmyr Gibbs,121465-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,16.93999939,5,12800,19200,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3586325509,121465-276980131,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121465-92575:Isiah Pacheco,121465-129368:Jahmyr Gibbs,121465-57439:Patrick Mahomes,121465-86997:Amon-Ra St. Brown,121465-45229:Kareem Hunt,121465-183488:Isaac TeSlaa,,121465-38435:Jared Goff,121465-38435,QB,Jared,Jared Goff,Goff,19.07599945,5,12200,18300,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3586325511,121465-276980131,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121465-158974:Xavier Worthy,121465-57439:Patrick Mahomes,121465-86997:Amon-Ra St. Brown,121465-73273:David Montgomery,121465-86687:Hollywood Brown,121465-89220:Tyquan Thornton,,121465-57439:Patrick Mahomes,121465-57439,QB,Patrick,Patrick Mahomes,Mahomes,24.05599976,5,12000,18000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
