entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3584216289,121303-276912928,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121303-69531:Jalen Hurts,121303-183240:Cam Skattebo,121303-103539:Wan'Dale Robinson,121303-83074:Dallas Goedert,121303-41235:Jake Elliott,121303-128810:Theo Johnson,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3584216290,121303-276912928,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121303-183240:Cam Skattebo,121303-69531:Jalen Hurts,121303-72846:A.J. Brown,121303-90576:DeVonta Smith,121303-103539:Wan'Dale Robinson,121303-152717:Beaux Collins,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3584216291,121303-276912928,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121303-69531:Jalen Hurts,121303-151966:Jaxson Dart,121303-183240:Cam Skattebo,121303-90576:DeVonta Smith,121303-90307:Daniel Bellinger,121303-152717:Beaux Collins,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3584216292,121303-276912928,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121303-64401:Saquon Barkley,121303-69531:Jalen Hurts,121303-72846:A.J. Brown,121303-176119:Jude McAtamney,121303-128810:Theo Johnson,121303-86229:Jahan Dotson,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3584216293,121303-276912928,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121303-151966:Jaxson Dart,121303-69531:Jalen Hurts,121303-83074:Dallas Goedert,121303-12545:Philadelphia Eagles,121303-41235:Jake Elliott,121303-86229:Jahan Dotson,,,,,,,,,,,,,,,,,,,,
3584216294,121303-276912928,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121303-64401:Saquon Barkley,121303-69531:Jalen Hurts,121303-151966:Jaxson Dart,121303-128810:Theo Johnson,121303-86229:Jahan Dotson,121303-139094:Jalin Hyatt,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3584828346,121303-276912928,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121303-72846:A.J. Brown,121303-64401:Saquon Barkley,121303-69531:Jalen Hurts,121303-176119:Jude McAtamney,121303-128810:Theo Johnson,121303-86229:Jahan Dotson,,121303-69531:Jalen Hurts,121303-69531,QB,Jalen,Jalen Hurts,Hurts,20.75200043,5,13600,20400,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
3584828348,121303-276912928,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121303-103539:Wan'Dale Robinson,121303-183240:Cam Skattebo,121303-90576:DeVonta Smith,121303-151966:Jaxson Dart,121303-41235:Jake Elliott,121303-128810:Theo Johnson,,121303-64401:Saquon Barkley,121303-64401,RB,Saquon,Saquon Barkley,Barkley,14.4,5,13000,19500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
3584828349,121303-276912928,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121303-151966:Jaxson Dart,121303-64401:Saquon Barkley,121303-83074:Dallas Goedert,121303-12545:Philadelphia Eagles,121303-41235:Jake Elliott,121303-176119:Jude McAtamney,,121303-151966:Jaxson Dart,121303-151966,QB,Jaxson,Jaxson Dart,Dart,9.354999542,4,12200,18300,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3584828350,121303-276912928,$20K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121303-183240:Cam Skattebo,121303-151966:Jaxson Dart,121303-64401:Saquon Barkley,121303-103539:Wan'Dale Robinson,121303-86229:Jahan Dotson,121303-90307:Daniel Bellinger,,121303-183240:Cam Skattebo,121303-183240,RB,Cam,Cam Skattebo,Skattebo,11.85999985,5,11000,16500,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-72846:A.J. Brown,121303-72846,WR,A.J.,A.J. Brown,Brown,7.580000305,5,10000,15000,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-90576:DeVonta Smith,121303-90576,WR,DeVonta,DeVonta Smith,Smith,9.740000153,5,9600,14400,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-103539:Wan'Dale Robinson,121303-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,9.480000305,5,8400,12600,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-83074:Dallas Goedert,121303-83074,TE,Dallas,Dallas Goedert,Goedert,11.19999981,4,8000,12000,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-22015:Russell Wilson,121303-22015,QB,Russell,Russell Wilson,Wilson,13.21000004,4,8000,12000,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-63819:Darius Slayton,121303-63819,WR,Darius,Darius Slayton,Slayton,4.120000076,5,7600,11400,PHI@NYG,NYG,PHI,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-12545:Philadelphia Eagles,121303-12545,D,Philadelphia,Philadelphia Eagles,Eagles,7.4,5,7200,10800,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-89607:Tanner McKee,121303-89607,QB,Tanner,Tanner McKee,McKee,7.204999924,4,7000,10500,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-41235:Jake Elliott,121303-41235,K,Jake,Jake Elliott,Elliott,7,5,6800,10200,PHI@NYG,PHI,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-53212:Younghoe Koo,121303-53212,K,Younghoe,Younghoe Koo,Koo,9,1,6600,9900,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-176119:Jude McAtamney,121303-176119,K,Jude,Jude McAtamney,McAtamney,4.5,2,6600,9900,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-70603:Devin Singletary,121303-70603,RB,Devin,Devin Singletary,Singletary,1.639999962,5,6400,9600,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121303-12543:New York Giants,121303-12543,D,New York,New York Giants,Giants,2.8,5,6000,9000,PHI@NYG,NYG,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
