Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121719-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,19.9499994913737,6,13200,19800,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
121719-63589,QB,Sam,Sam Darnold,Darnold,17.93999989827474,6,12400,18600,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
121719-91419,WR,Nico,Nico Collins,Collins,12.4,5,12000,18000,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
121719-129471,QB,C.J.,C.J. Stroud,Stroud,16.847999572753906,5,11600,17400,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
121719-103342,RB,Kenneth,Kenneth Walker III,Walker III,11.25,6,10600,15900,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
121719-103376,RB,Zach,Zach Charbonnet,Charbonnet,7.719999694824219,5,9200,13800,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
121719-53562,RB,Nick,Nick Chubb,Chubb,9,5,8400,12600,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
121719-138774,RB,Woody,Woody Marks,Marks,7.659999847412109,5,8200,12300,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
121719-89628,QB,Davis,Davis Mills,Mills,1.2200000286102295,1,8000,12000,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
121719-64051,QB,Drew,Drew Lock,Lock,0.5,1,8000,12000,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
121719-60858,WR,Christian,Christian Kirk,Kirk,5.299999872843425,3,7400,11100,HOU@SEA,HOU,SEA,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121719-12550,D,Seattle,Seattle Seahawks,Seahawks,9.833333333333334,6,7000,10500,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
121719-60745,K,Jason,Jason Myers,Myers,10.5,6,6800,10200,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
121719-137953,TE,AJ,AJ Barner,Barner,8.90000025431315,6,6600,9900,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
121719-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,11,5,6400,9600,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
121719-12556,D,Houston,Houston Texans,Texans,8.6,5,6200,9300,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
121719-79970,WR,Cooper,Cooper Kupp,Kupp,7.266666412353516,6,5800,8700,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
121719-55042,TE,Dalton,Dalton Schultz,Schultz,5.820000076293946,5,5200,7800,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
121719-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,5.9,5,4600,6900,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
