entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3591779481,121719-277154627,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121719-129458:Jaxon Smith-Njigba,121719-63589:Sam Darnold,121719-103342:Kenneth Walker III,121719-53562:Nick Chubb,121719-119788:Xavier Hutchinson,121719-134837:Tory Horton,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3591779482,121719-277154627,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121719-63589:Sam Darnold,121719-129458:Jaxon Smith-Njigba,121719-129471:C.J. Stroud,121719-103376:Zach Charbonnet,121719-147315:Jayden Higgins,121719-134837:Tory Horton,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3591779483,121719-277154627,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121719-63589:Sam Darnold,121719-129458:Jaxon Smith-Njigba,121719-129471:C.J. Stroud,121719-137953:AJ Barner,121719-55042:Dalton Schultz,121719-119788:Xavier Hutchinson,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3591779484,121719-277154627,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121719-129471:C.J. Stroud,121719-91419:Nico Collins,121719-129458:Jaxon Smith-Njigba,121719-138774:Woody Marks,121719-79970:Cooper Kupp,121719-134837:Tory Horton,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3591779485,121719-277154627,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121719-129471:C.J. Stroud,121719-91419:Nico Collins,121719-129458:Jaxon Smith-Njigba,121719-137953:AJ Barner,121719-29932:Ka'imi Fairbairn,121719-147315:Jayden Higgins,,,,,,,,,,,,,,,,,,,,
3591779486,121719-277154627,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121719-103342:Kenneth Walker III,121719-63589:Sam Darnold,121719-129458:Jaxon Smith-Njigba,121719-137953:AJ Barner,121719-29932:Ka'imi Fairbairn,121719-119788:Xavier Hutchinson,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3591779487,121719-277154627,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121719-103342:Kenneth Walker III,121719-91419:Nico Collins,121719-63589:Sam Darnold,121719-53562:Nick Chubb,121719-60745:Jason Myers,121719-147315:Jayden Higgins,,121719-129458:Jaxon Smith-Njigba,121719-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,19.94999949,6,13200,19800,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
3591779488,121719-277154627,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121719-53562:Nick Chubb,121719-63589:Sam Darnold,121719-129471:C.J. Stroud,121719-129458:Jaxon Smith-Njigba,121719-55042:Dalton Schultz,121719-134837:Tory Horton,,121719-63589:Sam Darnold,121719-63589,QB,Sam,Sam Darnold,Darnold,17.9399999,6,12400,18600,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
3591779490,121719-277154627,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121719-53562:Nick Chubb,121719-63589:Sam Darnold,121719-129471:C.J. Stroud,121719-129458:Jaxon Smith-Njigba,121719-55042:Dalton Schultz,121719-119788:Xavier Hutchinson,,121719-91419:Nico Collins,121719-91419,WR,Nico,Nico Collins,Collins,12.4,5,12000,18000,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
3591779491,121719-277154627,$8K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121719-91419:Nico Collins,121719-63589:Sam Darnold,121719-129471:C.J. Stroud,121719-53562:Nick Chubb,121719-79970:Cooper Kupp,121719-134837:Tory Horton,,121719-129471:C.J. Stroud,121719-129471,QB,C.J.,C.J. Stroud,Stroud,16.84799957,5,11600,17400,HOU@SEA,HOU,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121719-103342:Kenneth Walker III,121719-103342,RB,Kenneth,Kenneth Walker III,Walker III,11.25,6,10600,15900,HOU@SEA,SEA,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
