Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121707-103020,WR,Puka,Puka Nacua,Nacua,20.133333841959637,6,13200,19800,LAR@JAC,LAR,JAC,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
121707-104433,RB,Kyren,Kyren Williams,Williams,15.383333841959635,6,12400,18600,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-6654,QB,Matthew,Matthew Stafford,Stafford,19.176666259765625,6,12000,18000,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-45889,WR,Davante,Davante Adams,Adams,12.266666412353516,6,11600,17400,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,9.833333333333334,6,10800,16200,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-89951,QB,Trevor,Trevor Lawrence,Lawrence,16.576666514078777,6,10600,15900,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,14.066666920979818,6,9400,14100,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-184184,WR,Travis,Travis Hunter,Hunter,4.950000127156575,6,8200,12300,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,11.930000305175781,2,8000,12000,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-41562,QB,Nick,Nick Mullens,Mullens,0.33000001311302185,4,8000,12000,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-103195,WR,Jordan,Jordan Whittington,Whittington,2.8999999364217124,6,7200,10800,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-12538,D,Los Angeles,Los Angeles Rams,Rams,8.666666666666666,6,7000,10500,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-133172,K,Joshua,Joshua Karty,Karty,8.166666666666666,6,6800,10200,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,9.166666666666666,6,6400,9600,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-154442,K,Cam,Cam Little,Little,8,6,6200,9300,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-47870,TE,Tyler,Tyler Higbee,Higbee,5.300000190734863,4,5800,8700,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-93538,WR,Dyami,Dyami Brown,Brown,5.920000076293945,5,5200,7800,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-137516,WR,Parker,Parker Washington,Washington,5.650000254313151,6,4800,7200,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-160620,RB,Bhayshul,Bhayshul Tuten,Tuten,5.283333460489909,6,4400,6600,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-137967,RB,Blake,Blake Corum,Corum,4,6,4200,6300,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-92976,WR,Tutu,Tutu Atwell,Atwell,4.8799999237060545,5,4000,6000,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-93075,TE,Hunter,Hunter Long,Long,4.55999984741211,5,3400,5100,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-57091,WR,Tim,Tim Patrick,Patrick,2.3200000762939452,5,2400,3600,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-166749,RB,LeQuint,LeQuint Allen Jr.,Allen Jr.,1.1999999682108562,6,2000,3000,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-102831,TE,Davis,Davis Allen,Allen,3.5,6,1800,2700,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-89437,WR,Tim,Tim Jones,Jones,1.1199999809265138,5,1600,2400,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-40371,TE,Johnny,Johnny Mundt,Mundt,0.8600000381469727,5,1400,2100,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-90123,TE,Quintin,Quintin Morris,Morris,2.4200000762939453,5,1200,1800,LAR@JAC,JAC,LAR,O,Groin,,,,MVP - 1.5X Points/AnyFLEX
121707-166095,RB,Cody,Cody Schrader,Schrader,0.4666666587193807,3,1200,1800,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-89588,TE,Colby,Colby Parkinson,Parkinson,0.36666667461395264,3,1200,1800,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-91971,RB,Ronnie,Ronnie Rivers,Rivers,2.075000047683716,8,1000,1500,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-156997,WR,Tru,Tru Edwards,Edwards,,0,1000,1500,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-113096,WR,Xavier,Xavier Smith,Smith,0.6833333174387614,6,1000,1500,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-112715,WR,Joshua,Joshua Cephus,Cephus,,0,1000,1500,LAR@JAC,JAC,LAR,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
121707-154000,WR,Konata,Konata Mumpfield,Mumpfield,1.2000000476837158,1,1000,1500,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-104661,TE,Patrick,Patrick Herbert,Herbert,,0,1000,1500,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-136857,RB,Ja'Quinden,Ja'Quinden Jackson,Jackson,,0,1000,1500,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-226525,WR,Chandler,Chandler Brayboy,Brayboy,,0,1000,1500,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-103587,TE,Brenton,Brenton Strange,Strange,6.079999923706055,5,1000,1500,LAR@JAC,JAC,LAR,IR,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
121707-120035,TE,Mark,Mark Redman,Redman,,0,1000,1500,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-137889,WR,Brennan,Brennan Presley,Presley,,0,1000,1500,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-88937,QB,Carter,Carter Bradley,Bradley,,0,1000,1500,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-151915,TE,Terrance,Terrance Ferguson,Ferguson,1.2999999523162842,2,1000,1500,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-88685,WR,Austin,Austin Trammell,Trammell,3,1,1000,1500,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-156596,RB,Jarquez,Jarquez Hunter,Hunter,,0,1000,1500,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
121707-57338,TE,Jordan,Jordan Akins,Akins,4.4375,16,1000,1500,LAR@JAC,JAC,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
121707-91583,QB,Stetson,Stetson Bennett IV,Bennett IV,0,1,1000,1500,LAR@JAC,LAR,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
