entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3588271706,121556-277034162,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121556-73048:DK Metcalf,121556-6894:Aaron Rodgers,121556-85701:Ja'Marr Chase,121556-32058:Chris Boswell,121556-90912:Kenneth Gainwell,121556-133477:Darnell Washington,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3588271707,121556-277034162,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121556-85701:Ja'Marr Chase,121556-6894:Aaron Rodgers,121556-73048:DK Metcalf,121556-89493:Chase Brown,121556-133477:Darnell Washington,121556-61273:Scotty Miller,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3588271708,121556-277034162,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121556-6894:Aaron Rodgers,121556-6714:Joe Flacco,121556-89493:Chase Brown,121556-112057:Jaylen Warren,121556-89981:Tee Higgins,121556-61273:Scotty Miller,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3588271709,121556-277034162,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121556-6894:Aaron Rodgers,121556-85701:Ja'Marr Chase,121556-89493:Chase Brown,121556-32058:Chris Boswell,121556-71705:Noah Fant,121556-138037:Roman Wilson,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3588271710,121556-277034162,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121556-6714:Joe Flacco,121556-6894:Aaron Rodgers,121556-85701:Ja'Marr Chase,121556-32058:Chris Boswell,121556-48116:Jonnu Smith,121556-185593:Andrei Iosivas,,,,,,,,,,,,,,,,,,,,
3588271711,121556-277034162,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121556-6714:Joe Flacco,121556-73048:DK Metcalf,121556-112057:Jaylen Warren,121556-89981:Tee Higgins,121556-32058:Chris Boswell,121556-86092:Evan McPherson,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3588271712,121556-277034162,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121556-89493:Chase Brown,121556-6894:Aaron Rodgers,121556-85701:Ja'Marr Chase,121556-90912:Kenneth Gainwell,121556-48116:Jonnu Smith,121556-71705:Noah Fant,,121556-85701:Ja'Marr Chase,121556-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.06666692,6,13200,19800,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3588271713,121556-277034162,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121556-89493:Chase Brown,121556-6714:Joe Flacco,121556-85701:Ja'Marr Chase,121556-112057:Jaylen Warren,121556-90912:Kenneth Gainwell,121556-133477:Darnell Washington,,121556-6894:Aaron Rodgers,121556-6894,QB,Aaron,Aaron Rodgers,Rodgers,16.20800018,5,12600,18900,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
3588271714,121556-277034162,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121556-112057:Jaylen Warren,121556-6714:Joe Flacco,121556-6894:Aaron Rodgers,121556-89981:Tee Higgins,121556-12547:Pittsburgh Steelers,121556-86092:Evan McPherson,,121556-73048:DK Metcalf,121556-73048,WR,DK,DK Metcalf,Metcalf,14.41999969,5,12200,18300,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
3588271715,121556-277034162,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121556-90912:Kenneth Gainwell,121556-6894:Aaron Rodgers,121556-73048:DK Metcalf,121556-89493:Chase Brown,121556-85701:Ja'Marr Chase,121556-61273:Scotty Miller,,121556-6714:Joe Flacco,121556-6714,QB,Joe,Joe Flacco,Flacco,10.13199997,5,11200,16800,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
