Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121718-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,15.283332824707031,6,13000,19500,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
121718-41535,QB,Baker,Baker Mayfield,Mayfield,21.56000010172526,6,12000,18000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
121718-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,18.349999745686848,6,11800,17700,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
121718-38435,QB,Jared,Jared Goff,Goff,18.6999994913737,6,11200,16800,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
121718-32384,WR,Mike,Mike Evans,Evans,9,3,10400,15600,TB@DET,TB,DET,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121718-137902,RB,Rachaad,Rachaad White,White,10.233333587646484,6,9600,14400,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
121718-73273,RB,David,David Montgomery,Montgomery,12.803333282470703,6,9200,13800,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
121718-152655,WR,Emeka,Emeka Egbuka,Egbuka,16.5500005086263,6,9000,13500,TB@DET,TB,DET,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121718-152664,RB,Bucky,Bucky Irving,Irving,16.375,4,9000,13500,TB@DET,TB,DET,O,Foot,,,,MVP - 1.5X Points/AnyFLEX
121718-201535,WR,Kameron,Kameron Johnson,Johnson,2.433333396911621,6,8200,12300,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
121718-53095,QB,Kyle,Kyle Allen,Allen,-0.20000000298023224,1,8000,12000,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
121718-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0.11999999731779099,1,8000,12000,TB@DET,TB,DET,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
121718-111631,WR,Jameson,Jameson Williams,Williams,8.75,6,7600,11400,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
121718-27477,WR,Sterling,Sterling Shepard,Shepard,6.633333206176758,6,7400,11100,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
121718-105646,TE,Sam,Sam LaPorta,LaPorta,9.566666920979818,6,7000,10500,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
121718-86811,TE,Cade,Cade Otton,Otton,4.820000076293946,5,6800,10200,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
121718-12532,D,Detroit,Detroit Lions,Lions,7.833333333333333,6,6600,9900,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
121718-140176,K,Jake,Jake Bates,Bates,8.166666666666666,6,6400,9600,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
121718-60479,K,Chase,Chase McLaughlin,McLaughlin,10.666666666666666,6,6200,9300,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
121718-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,5.833333333333333,6,6000,9000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
121718-128624,WR,Tez,Tez Johnson,Johnson,4.1400001525878904,5,5400,8100,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
121718-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,4.099999904632568,2,5000,7500,TB@DET,TB,DET,O,Lower leg,,,,MVP - 1.5X Points/AnyFLEX
121718-137059,RB,Sean,Sean Tucker,Tucker,1.683333396911621,6,4600,6900,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
121718-70422,WR,Kalif,Kalif Raymond,Raymond,2.9200000762939453,5,3400,5100,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
