entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3591779591,121718-277154524,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121718-129368:Jahmyr Gibbs,121718-41535:Baker Mayfield,121718-38435:Jared Goff,121718-105646:Sam LaPorta,121718-60479:Chase McLaughlin,121718-70422:Kalif Raymond,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3591779846,121718-277154524,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121718-129368:Jahmyr Gibbs,121718-41535:Baker Mayfield,121718-201535:Kameron Johnson,121718-105646:Sam LaPorta,121718-86811:Cade Otton,121718-140176:Jake Bates,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3591779849,121718-277154524,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121718-41535:Baker Mayfield,121718-129368:Jahmyr Gibbs,121718-111631:Jameson Williams,121718-27477:Sterling Shepard,121718-105646:Sam LaPorta,121718-86811:Cade Otton,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3591779851,121718-277154524,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121718-41535:Baker Mayfield,121718-129368:Jahmyr Gibbs,121718-73273:David Montgomery,121718-105646:Sam LaPorta,121718-140176:Jake Bates,121718-60479:Chase McLaughlin,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3591779853,121718-277154524,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121718-86997:Amon-Ra St. Brown,121718-41535:Baker Mayfield,121718-129368:Jahmyr Gibbs,121718-111631:Jameson Williams,121718-128624:Tez Johnson,121718-70422:Kalif Raymond,,,,,,,,,,,,,,,,,,,,
3591779855,121718-277154524,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121718-38435:Jared Goff,121718-86997:Amon-Ra St. Brown,121718-129368:Jahmyr Gibbs,121718-73273:David Montgomery,121718-128624:Tez Johnson,121718-70422:Kalif Raymond,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3591779858,121718-277154524,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121718-38435:Jared Goff,121718-41535:Baker Mayfield,121718-129368:Jahmyr Gibbs,121718-152655:Emeka Egbuka,121718-128624:Tez Johnson,121718-70422:Kalif Raymond,,121718-129368:Jahmyr Gibbs,121718-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,15.28333282,6,13000,19500,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
3591779862,121718-277154524,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121718-41535:Baker Mayfield,121718-86997:Amon-Ra St. Brown,121718-152655:Emeka Egbuka,121718-111631:Jameson Williams,121718-105646:Sam LaPorta,121718-60479:Chase McLaughlin,,121718-41535:Baker Mayfield,121718-41535,QB,Baker,Baker Mayfield,Mayfield,21.5600001,6,12000,18000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
3591779865,121718-277154524,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121718-38435:Jared Goff,121718-41535:Baker Mayfield,121718-137902:Rachaad White,121718-111631:Jameson Williams,121718-105646:Sam LaPorta,121718-60479:Chase McLaughlin,,121718-86997:Amon-Ra St. Brown,121718-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,18.34999975,6,11800,17700,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
3591779868,121718-277154524,$6K Mon NFL Hail Mary (Only $0.25 to Enter),0.25,121718-38435:Jared Goff,121718-41535:Baker Mayfield,121718-32384:Mike Evans,121718-137902:Rachaad White,121718-105646:Sam LaPorta,121718-70422:Kalif Raymond,,121718-38435:Jared Goff,121718-38435,QB,Jared,Jared Goff,Goff,18.69999949,6,11200,16800,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
