Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121989-72731,RB,Josh,Josh Jacobs,Jacobs,19.21666717529297,6,14600,21900,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-69017,QB,Jordan,Jordan Love,Love,17.919999440511067,6,12400,18600,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-6894,QB,Aaron,Aaron Rodgers,Rodgers,17.599999745686848,6,11600,17400,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-73048,WR,DK,DK Metcalf,Metcalf,13.09999974568685,6,11400,17100,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-160303,TE,Tucker,Tucker Kraft,Kraft,11.90000025431315,6,10000,15000,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-112057,RB,Jaylen,Jaylen Warren,Warren,13.4,5,9800,14700,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-87691,QB,Malik,Malik Willis,Willis,7.399999891008649,7,9000,13500,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-94370,WR,Romeo,Romeo Doubs,Doubs,11.09999974568685,6,8600,12900,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-53729,QB,Mason,Mason Rudolph,Rudolph,0.23999999463558197,2,8000,12000,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-166916,WR,Matthew,Matthew Golden,Golden,6.400000254313151,6,7800,11700,GB@PIT,GB,PIT,Q,Hip,,,,MVP - 1.5X Points/AnyFLEX
121989-12533,D,Green Bay,Green Bay Packers,Packers,5,6,7200,10800,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-86244,TE,Pat,Pat Freiermuth,Freiermuth,8.04000015258789,5,7000,10500,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-26247,K,Brandon,Brandon McManus,McManus,9,4,6800,10200,GB@PIT,GB,PIT,Q,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
121989-88060,K,Lucas,Lucas Havrisik,Havrisik,10.5,2,6800,10200,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-32058,K,Chris,Chris Boswell,Boswell,9.666666666666666,6,6600,9900,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,7.5,6,6400,9600,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,9.25,6,6200,9300,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,3.316666603088379,6,5800,8700,GB@PIT,GB,PIT,O,Calf,,,,MVP - 1.5X Points/AnyFLEX
121989-48116,TE,Jonnu,Jonnu Smith,Smith,5.783333460489909,6,5400,8100,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-90870,WR,Calvin,Calvin Austin III,Austin III,7.724999904632568,4,4800,7200,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-185861,RB,Emanuel,Emanuel Wilson,Wilson,2.616666634877523,6,4400,6600,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-138037,WR,Roman,Roman Wilson,Wilson,1.8666666348775227,3,3800,5700,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-133477,TE,Darnell,Darnell Washington,Washington,5.224999904632568,4,3200,4800,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-120642,WR,Savion,Savion Williams,Williams,1.1666666666666667,6,2800,4200,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-168916,RB,Kaleb,Kaleb Johnson,Johnson,0.4000000059604645,4,2400,3600,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-91488,RB,Chris,Chris Brooks,Brooks,1.1399999618530274,5,2000,3000,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-113228,TE,Luke,Luke Musgrave,Musgrave,1.850000023841858,4,1800,2700,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-138786,WR,Malik,Malik Heath,Heath,2.799999952316284,2,1600,2400,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-71105,WR,Ben,Ben Skowronek,Skowronek,4.349999904632568,2,1600,2400,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-92882,TE,Connor,Connor Heyward,Heyward,2.25,4,1400,2100,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
121989-91618,TE,John,John FitzPatrick,FitzPatrick,3.3333333333333335,3,1200,1800,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-113160,WR,Jakobie,Jakobie Keeney-James,Keeney-James,,0,1000,1500,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121989-119697,RB,MarShawn,MarShawn Lloyd,Lloyd,2.299999952316284,1,1000,1500,GB@PIT,GB,PIT,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
