entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3595343511,121989-277226644,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121989-72731:Josh Jacobs,121989-69017:Jordan Love,121989-6894:Aaron Rodgers,121989-86244:Pat Freiermuth,121989-138037:Roman Wilson,121989-120642:Savion Williams,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3595343515,121989-277226644,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121989-72731:Josh Jacobs,121989-69017:Jordan Love,121989-73048:DK Metcalf,121989-32058:Chris Boswell,121989-90870:Calvin Austin III,121989-120642:Savion Williams,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3595343517,121989-277226644,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121989-69017:Jordan Love,121989-72731:Josh Jacobs,121989-160303:Tucker Kraft,121989-94370:Romeo Doubs,121989-90870:Calvin Austin III,121989-120642:Savion Williams,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3595343519,121989-277226644,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121989-69017:Jordan Love,121989-72731:Josh Jacobs,121989-160303:Tucker Kraft,121989-94370:Romeo Doubs,121989-138037:Roman Wilson,121989-120642:Savion Williams,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3595343523,121989-277226644,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121989-69017:Jordan Love,121989-72731:Josh Jacobs,121989-112057:Jaylen Warren,121989-26247:Brandon McManus,121989-48116:Jonnu Smith,121989-90870:Calvin Austin III,,,,,,,,,,,,,,,,,,,,
3595343525,121989-277226644,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121989-72731:Josh Jacobs,121989-6894:Aaron Rodgers,121989-94370:Romeo Doubs,121989-32058:Chris Boswell,121989-48116:Jonnu Smith,121989-90870:Calvin Austin III,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3595343527,121989-277226644,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121989-6894:Aaron Rodgers,121989-72731:Josh Jacobs,121989-166916:Matthew Golden,121989-86244:Pat Freiermuth,121989-26247:Brandon McManus,121989-90870:Calvin Austin III,,121989-72731:Josh Jacobs,121989-72731,RB,Josh,Josh Jacobs,Jacobs,19.21666718,6,14600,21900,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3595343528,121989-277226644,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121989-6894:Aaron Rodgers,121989-72731:Josh Jacobs,121989-112057:Jaylen Warren,121989-26247:Brandon McManus,121989-90912:Kenneth Gainwell,121989-90870:Calvin Austin III,,121989-69017:Jordan Love,121989-69017,QB,Jordan,Jordan Love,Love,17.91999944,6,12400,18600,GB@PIT,GB,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3595343529,121989-277226644,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121989-69017:Jordan Love,121989-6894:Aaron Rodgers,121989-160303:Tucker Kraft,121989-94370:Romeo Doubs,121989-90912:Kenneth Gainwell,121989-90870:Calvin Austin III,,121989-6894:Aaron Rodgers,121989-6894,QB,Aaron,Aaron Rodgers,Rodgers,17.59999975,6,11600,17400,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
3595343531,121989-277226644,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,121989-69017:Jordan Love,121989-6894:Aaron Rodgers,121989-73048:DK Metcalf,121989-26247:Brandon McManus,121989-32058:Chris Boswell,121989-90870:Calvin Austin III,,121989-73048:DK Metcalf,121989-73048,WR,DK,DK Metcalf,Metcalf,13.09999975,6,11400,17100,GB@PIT,PIT,GB,,,,,,MVP - 1.5X Points/AnyFLEX
