Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121822-85671,WR,Justin,Justin Jefferson,Jefferson,13.699999491373697,6,13400,20100,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
121822-69189,QB,Justin,Justin Herbert,Herbert,21.445713588169642,7,13000,19500,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
121822-70324,QB,Carson,Carson Wentz,Wentz,18.145000457763672,4,11400,17100,MIN@LAC,MIN,LAC,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
121822-86875,RB,Jordan,Jordan Mason,Mason,11.816666920979818,6,10600,15900,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
121822-29253,WR,Keenan,Keenan Allen,Allen,13.214285714285714,7,10200,15300,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
121822-152575,QB,J.J.,J.J. McCarthy,McCarthy,14.020000457763672,2,10000,15000,MIN@LAC,MIN,LAC,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
121822-120639,WR,Quentin,Quentin Johnston,Johnston,13.90000025431315,6,9200,13800,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
121822-128633,RB,Kimani,Kimani Vidal,Vidal,8.050000190734863,4,8800,13200,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
121822-129210,WR,Jordan,Jordan Addison,Addison,16.433333079020183,3,8400,12600,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
121822-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,8.25,2,8200,12300,MIN@LAC,MIN,LAC,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121822-158438,TE,Oronde,Oronde Gadsden II,Gadsden II,9.759999847412109,5,8000,12000,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
121822-133472,WR,Ladd,Ladd McConkey,McConkey,10.214285714285714,7,7800,11700,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
121822-71706,TE,T.J.,T.J. Hockenson,Hockenson,6.349999745686849,6,7200,10800,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
121822-149696,QB,Trey,Trey Lance,Lance,2.859999895095825,1,7000,10500,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
121822-200653,QB,Max,Max Brosmer,Brosmer,0.5299999713897705,2,7000,10500,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
121822-12540,D,Minnesota,Minnesota Vikings,Vikings,8.333333333333334,6,6800,10200,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
121822-102703,K,Will,Will Reichard,Reichard,10,6,6600,9900,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
121822-92496,K,Cameron,Cameron Dicker,Dicker,9.142857142857142,7,6400,9600,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
121822-12548,D,Los Angeles,Los Angeles Chargers,Chargers,4.571428571428571,7,6200,9300,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
121822-91361,RB,Hassan,Hassan Haskins,Haskins,1.0500000317891438,6,5200,7800,MIN@LAC,LAC,MIN,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121822-92859,WR,Jalen,Jalen Nailor,Nailor,5.366666793823242,6,4600,6900,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
