entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3593825713,121822-277160740,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121822-85671:Justin Jefferson,121822-69189:Justin Herbert,121822-120639:Quentin Johnston,121822-102703:Will Reichard,121822-92496:Cameron Dicker,121822-92859:Jalen Nailor,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3593825715,121822-277160740,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121822-92859:Jalen Nailor,121822-92496:Cameron Dicker,121822-69189:Justin Herbert,121822-70324:Carson Wentz,121822-128633:Kimani Vidal,121822-85671:Justin Jefferson,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3593825716,121822-277160740,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121822-92496:Cameron Dicker,121822-69189:Justin Herbert,121822-86875:Jordan Mason,121822-133472:Ladd McConkey,121822-85671:Justin Jefferson,121822-92859:Jalen Nailor,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3593825718,121822-277160740,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121822-69189:Justin Herbert,121822-85671:Justin Jefferson,121822-120639:Quentin Johnston,121822-102703:Will Reichard,121822-92496:Cameron Dicker,121822-92859:Jalen Nailor,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3593825719,121822-277160740,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121822-102703:Will Reichard,121822-71706:T.J. Hockenson,121822-70324:Carson Wentz,121822-29253:Keenan Allen,121822-133472:Ladd McConkey,121822-85671:Justin Jefferson,,,,,,,,,,,,,,,,,,,,
3593834798,121822-277160740,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121822-102703:Will Reichard,121822-71706:T.J. Hockenson,121822-70324:Carson Wentz,121822-120639:Quentin Johnston,121822-129210:Jordan Addison,121822-85671:Justin Jefferson,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3593834799,121822-277160740,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121822-102703:Will Reichard,121822-71706:T.J. Hockenson,121822-70324:Carson Wentz,121822-29253:Keenan Allen,121822-158438:Oronde Gadsden II,121822-69189:Justin Herbert,,121822-85671:Justin Jefferson,121822-85671,WR,Justin,Justin Jefferson,Jefferson,13.69999949,6,13400,20100,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
3593834801,121822-277160740,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121822-71706:T.J. Hockenson,121822-70324:Carson Wentz,121822-86875:Jordan Mason,121822-133472:Ladd McConkey,121822-69189:Justin Herbert,121822-92496:Cameron Dicker,,121822-69189:Justin Herbert,121822-69189,QB,Justin,Justin Herbert,Herbert,21.44571359,7,13000,19500,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
3593834803,121822-277160740,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121822-69189:Justin Herbert,121822-86875:Jordan Mason,121822-129210:Jordan Addison,121822-158438:Oronde Gadsden II,121822-102703:Will Reichard,121822-92496:Cameron Dicker,,121822-70324:Carson Wentz,121822-70324,QB,Carson,Carson Wentz,Wentz,18.14500046,4,11400,17100,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
3593834804,121822-277160740,$18K Thu NFL Hail Mary (Only $0.25 to Enter),0.25,121822-69189:Justin Herbert,121822-29253:Keenan Allen,121822-128633:Kimani Vidal,121822-133472:Ladd McConkey,121822-71706:T.J. Hockenson,121822-92496:Cameron Dicker,,121822-86875:Jordan Mason,121822-86875,RB,Jordan,Jordan Mason,Mason,11.81666692,6,10600,15900,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121822-29253:Keenan Allen,121822-29253,WR,Keenan,Keenan Allen,Allen,13.21428571,7,10200,15300,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121822-152575:J.J. McCarthy,121822-152575,QB,J.J.,J.J. McCarthy,McCarthy,14.02000046,2,10000,15000,MIN@LAC,MIN,LAC,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121822-120639:Quentin Johnston,121822-120639,WR,Quentin,Quentin Johnston,Johnston,13.90000025,6,9200,13800,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121822-128633:Kimani Vidal,121822-128633,RB,Kimani,Kimani Vidal,Vidal,8.050000191,4,8800,13200,MIN@LAC,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,121822-129210:Jordan Addison,121822-129210,WR,Jordan,Jordan Addison,Addison,16.43333308,3,8400,12600,MIN@LAC,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
