Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121993-111311,WR,Rashee,Rashee Rice,Rice,19.700000762939453,1,13200,19800,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-57439,QB,Patrick,Patrick Mahomes,Mahomes,25.428571428571427,7,13000,19500,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-102785,QB,Jayden,Jayden Daniels,Daniels,19.467999267578126,5,12400,18600,WAS@KC,WAS,KC,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121993-29358,QB,Marcus,Marcus Mariota,Mariota,14.146666208902994,3,12400,18600,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,12.833333333333334,6,11000,16500,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-158974,WR,Xavier,Xavier Worthy,Worthy,7.719999694824219,5,10400,15600,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,10.028570992606026,7,9800,14700,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-56250,WR,Terry,Terry McLaurin,McLaurin,6.633333206176758,3,8600,12900,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-92575,RB,Isiah,Isiah Pacheco,Pacheco,6.985714503696987,7,8200,12300,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-61798,QB,Gardner,Gardner Minshew II,Minshew II,-0.30000001192092896,2,8000,12000,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-33076,TE,Travis,Travis Kelce,Kelce,9.285714285714286,7,7400,11100,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-41642,K,Harrison,Harrison Butker,Butker,8.714285714285714,7,6800,10200,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-87180,K,Matt,Matt Gay,Gay,8.571428571428571,7,6600,9900,WAS@KC,WAS,KC,Q,Back,,,,MVP - 1.5X Points/AnyFLEX
121993-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.857142857142857,7,6400,9600,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-12552,D,Washington,Washington Commanders,Commanders,5.857142857142857,7,6200,9300,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-29780,TE,Zach,Zach Ertz,Ertz,8.62857164655413,7,6000,9000,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-155775,RB,Brashard,Brashard Smith,Smith,3.6999999455043246,7,5800,8700,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-45229,RB,Kareem,Kareem Hunt,Hunt,6.785714285714286,7,5400,8100,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,6.142857142857143,7,5000,7500,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-86687,WR,Hollywood,Hollywood Brown,Brown,10.228571210588727,7,4800,7200,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-128986,WR,Jaylin,Jaylin Lane,Lane,3.6999999455043246,7,4400,6600,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-103547,WR,Luke,Luke McCaffrey,McCaffrey,5.985714503696987,7,4000,6000,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-33047,WR,Chris,Chris Moore,Moore,4.549999872843425,6,3600,5400,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,4.425000190734863,4,3200,4800,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-89220,WR,Tyquan,Tyquan Thornton,Thornton,9.34999974568685,6,3000,4500,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-56248,WR,Noah,Noah Brown,Brown,2.549999952316284,2,2800,4200,WAS@KC,WAS,KC,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
121993-56648,RB,Jeremy,Jeremy McNichols,McNichols,4.983333269755046,6,2400,3600,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-26251,WR,Robbie,Robbie Chosen,Chosen,5.599999904632568,1,2000,3000,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-93143,TE,Noah,Noah Gray,Gray,2,6,1800,2700,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-137265,TE,Ben,Ben Sinnott,Sinnott,1.2000000476837158,1,1600,2400,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-176467,WR,Jalen,Jalen Royals,Royals,0,1,1400,2100,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-91481,WR,Nikko,Nikko Remigio,Remigio,0.528571435383388,7,1200,1800,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
121993-72705,TE,John,John Bates,Bates,1.2000000476837158,2,1000,1500,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-80001,RB,Austin,Austin Ekeler,Ekeler,5.300000190734863,2,1000,1500,WAS@KC,WAS,KC,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
121993-92545,RB,Keaontay,Keaontay Ingram,Ingram,0,1,1000,1500,WAS@KC,KC,WAS,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
121993-83081,RB,Chase,Chase Edmonds,Edmonds,,0,1000,1500,WAS@KC,WAS,KC,,,,,,MVP - 1.5X Points/AnyFLEX
121993-86800,TE,Colson,Colson Yankoff,Yankoff,,0,1000,1500,WAS@KC,WAS,KC,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121993-138643,WR,Jason,Jason Brownlee,Brownlee,0,1,1000,1500,WAS@KC,KC,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
