Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122371-31716,QB,Dak,Dak Prescott,Prescott,20.5575008392334,8,13000,19500,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-86631,WR,CeeDee,CeeDee Lamb,Lamb,17.450000762939453,4,12800,19200,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-93541,RB,Javonte,Javonte Williams,Williams,17.825000762939453,8,12200,18300,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-30231,QB,Jacoby,Jacoby Brissett,Brissett,11.164999961853027,4,11400,17100,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-63484,QB,Kyler,Kyler Murray,Murray,16.155999755859376,5,11400,17100,ARI@DAL,ARI,DAL,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
122371-110246,WR,George,George Pickens,Pickens,16.5,8,10200,15300,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-91750,TE,Trey,Trey McBride,McBride,12.799999782017299,7,9600,14400,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-89680,TE,Jake,Jake Ferguson,Ferguson,11.862500190734863,8,8800,13200,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,9.085714067731585,7,8200,12300,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-102933,QB,Kedon,Kedon Slovis,Slovis,,0,8000,12000,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-91390,QB,Joe,Joe Milton III,Milton III,3.4800000190734863,2,8000,12000,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-103252,RB,Zonovan,Zonovan Knight,Knight,5.740000152587891,5,7400,11100,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-189471,K,Brandon,Brandon Aubrey,Aubrey,11,8,7000,10500,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-93539,RB,Michael,Michael Carter,Carter,6.974999904632568,4,7000,10500,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-86750,K,Chad,Chad Ryland,Ryland,9.142857142857142,7,6800,10200,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-12530,D,Dallas,Dallas Cowboys,Cowboys,3.25,8,6400,9600,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-12546,D,Arizona,Arizona Cardinals,Cardinals,5.571428571428571,7,6200,9300,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-89612,WR,Michael,Michael Wilson,Wilson,3.8714286259242465,7,5600,8400,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-41305,WR,Zay,Zay Jones,Jones,4.8599998474121096,5,5000,7500,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-60957,WR,KaVontae,KaVontae Turpin,Turpin,5.366666793823242,6,4600,6900,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-166801,RB,Jaydon,Jaydon Blue,Blue,1.875,4,4200,6300,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-94579,RB,Emari,Emari Demercado,Demercado,3.0600000381469727,5,4000,6000,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-69558,WR,Greg,Greg Dortch,Dortch,3.1000001089913503,7,3800,5700,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-88548,WR,Jalen,Jalen Tolbert,Tolbert,4.025000095367432,8,3400,5100,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-112192,WR,Jonathan,Jonathan Mingo,Mingo,1.6928571973528181,14,3000,4500,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-102986,WR,Elijah,Elijah Higgins,Higgins,2.449999968210856,6,2600,3900,ARI@DAL,ARI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
122371-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,1.1999999455043249,7,2400,3600,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-201233,WR,Ryan,Ryan Flournoy,Flournoy,6.220000076293945,5,2000,3000,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
122371-185863,RB,Hunter,Hunter Luepke,Luepke,2.160000038146973,5,1800,2700,ARI@DAL,DAL,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
