Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122149-63115,QB,Lamar,Lamar Jackson,Jackson,23.59000015258789,4,13600,20400,BAL@MIA,BAL,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
122149-39280,RB,Derrick,Derrick Henry,Henry,13.700000217982701,7,12600,18900,BAL@MIA,BAL,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
122149-138820,RB,De'Von,De'Von Achane,Achane,17.612499237060547,8,12000,18000,BAL@MIA,MIA,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
122149-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,14.6899995803833,8,11400,17100,BAL@MIA,MIA,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
122149-70051,QB,Tyler,Tyler Huntley,Huntley,11.680000305175781,2,11000,16500,BAL@MIA,BAL,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
122149-90573,WR,Jaylen,Jaylen Waddle,Waddle,11.90250015258789,8,10400,15600,BAL@MIA,MIA,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
122149-112295,WR,Zay,Zay Flowers,Flowers,11.157142639160156,7,9800,14700,BAL@MIA,BAL,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
122149-52436,TE,Mark,Mark Andrews,Andrews,6.4571429661342075,7,8600,12900,BAL@MIA,BAL,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
122149-90406,QB,Zach,Zach Wilson,Wilson,0.7900000214576721,2,8000,12000,BAL@MIA,MIA,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
122149-160938,QB,Quinn,Quinn Ewers,Ewers,2.119999885559082,1,8000,12000,BAL@MIA,MIA,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
122149-44715,QB,Cooper,Cooper Rush,Rush,1.4299999475479126,4,8000,12000,BAL@MIA,BAL,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
122149-110974,WR,Malik,Malik Washington,Washington,5.512499809265137,8,7400,11100,BAL@MIA,MIA,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
122149-140491,K,Tyler,Tyler Loop,Loop,8.714285714285714,7,6800,10200,BAL@MIA,BAL,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
