Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122368-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,20.714285714285715,7,13400,20100,SEA@WAS,SEA,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
122368-102785,QB,Jayden,Jayden Daniels,Daniels,19.467999267578126,5,12800,19200,SEA@WAS,WAS,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
122368-63589,QB,Sam,Sam Darnold,Darnold,16.751428876604354,7,12000,18000,SEA@WAS,SEA,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
122368-103342,RB,Kenneth,Kenneth Walker III,Walker III,10.585714067731585,7,11200,16800,SEA@WAS,SEA,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
122368-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,11.385713849748884,7,10400,15600,SEA@WAS,WAS,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
122368-29358,QB,Marcus,Marcus Mariota,Mariota,13.9399995803833,4,10000,15000,SEA@WAS,WAS,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
122368-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,9.087499618530273,8,9400,14100,SEA@WAS,WAS,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
122368-103376,RB,Zach,Zach Charbonnet,Charbonnet,9.516666412353516,6,8600,12900,SEA@WAS,SEA,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
122368-56250,WR,Terry,Terry McLaurin,McLaurin,8.199999809265137,4,8400,12600,SEA@WAS,WAS,SEA,O,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
122368-64051,QB,Drew,Drew Lock,Lock,0.5,1,8000,12000,SEA@WAS,SEA,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
122368-29780,TE,Zach,Zach Ertz,Ertz,8,8,7200,10800,SEA@WAS,WAS,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
