Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121556-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.066666920979817,6,13200,19800,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-6894,QB,Aaron,Aaron Rodgers,Rodgers,16.20800018310547,5,12600,18900,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-73048,WR,DK,DK Metcalf,Metcalf,14.419999694824218,5,12200,18300,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-6714,QB,Joe,Joe Flacco,Flacco,10.131999969482422,5,11200,16800,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-89493,RB,Chase,Chase Brown,Brown,8.066666920979818,6,10600,15900,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-112057,RB,Jaylen,Jaylen Warren,Warren,11.550000190734863,4,9200,13800,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-89981,WR,Tee,Tee Higgins,Higgins,7.166666666666667,6,8600,12900,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-60840,QB,Jake,Jake Browning,Browning,14.045000076293945,4,8000,12000,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-53729,QB,Mason,Mason Rudolph,Rudolph,0.23999999463558197,2,8000,12000,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,8.8,5,7200,10800,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-90870,WR,Calvin,Calvin Austin III,Austin III,7.724999904632568,4,7000,10500,PIT@CIN,PIT,CIN,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
121556-32058,K,Chris,Chris Boswell,Boswell,10,5,6800,10200,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,10.6,5,6600,9900,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-86092,K,Evan,Evan McPherson,McPherson,5.5,6,6200,9300,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-12528,D,Cincinnati,Cincinnati Bengals,Bengals,2.8333333333333335,6,6000,9000,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-48116,TE,Jonnu,Jonnu Smith,Smith,4.8799999237060545,5,5600,8400,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-71705,TE,Noah,Noah Fant,Fant,5.675000190734863,4,5000,7500,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-86244,TE,Pat,Pat Freiermuth,Freiermuth,2.9000000953674316,4,4600,6900,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-56265,TE,Mike,Mike Gesicki,Gesicki,2.0200000762939454,5,4200,6300,PIT@CIN,CIN,PIT,O,Pectoral,,,,MVP - 1.5X Points/AnyFLEX
121556-185593,WR,Andrei,Andrei Iosivas,Iosivas,4.150000095367432,4,3600,5400,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-52451,RB,Samaje,Samaje Perine,Perine,1.6999999682108562,6,3200,4800,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-168916,RB,Kaleb,Kaleb Johnson,Johnson,0.4000000059604645,4,2600,3900,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-133477,TE,Darnell,Darnell Washington,Washington,4.399999936421712,3,2400,3600,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-71105,WR,Ben,Ben Skowronek,Skowronek,4.349999904632568,2,2000,3000,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-137122,RB,Tahj,Tahj Brooks,Brooks,1.7000000476837158,1,1800,2700,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-138037,WR,Roman,Roman Wilson,Wilson,1.4500000476837158,2,1600,2400,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-92882,TE,Connor,Connor Heyward,Heyward,3,3,1600,2400,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-56711,TE,Drew,Drew Sample,Sample,2.1799999237060548,5,1400,2100,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-83117,TE,Tanner,Tanner Hudson,Hudson,9,1,1400,2100,PIT@CIN,CIN,PIT,Q,Concussion,,,,MVP - 1.5X Points/AnyFLEX
121556-128912,WR,Mitch,Mitch Tinsley,Tinsley,3.066666603088379,3,1200,1800,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-61273,WR,Scotty,Scotty Miller,Miller,0,1,1200,1800,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-114591,TE,William,William Wagner,Wagner,,0,1000,1500,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-120105,QB,Will,Will Howard,Howard,,0,1000,1500,PIT@CIN,PIT,CIN,IR,Hand,,,,MVP - 1.5X Points/AnyFLEX
121556-152232,WR,Jordan,Jordan Moore,Moore,,0,1000,1500,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-88109,RB,Gary,Gary Brightwell,Brightwell,0,1,1000,1500,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-69294,QB,Skylar,Skylar Thompson,Thompson,2.626666704813639,3,1000,1500,PIT@CIN,PIT,CIN,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121556-92590,RB,Raheem,Raheem Blackshear,Blackshear,0.5333333333333333,15,1000,1500,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-88752,WR,Charlie,Charlie Jones,Jones,0,6,1000,1500,PIT@CIN,CIN,PIT,Q,Ribs,,,,MVP - 1.5X Points/AnyFLEX
121556-86200,QB,Sean,Sean Clifford,Clifford,,0,1000,1500,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-45259,QB,Logan,Logan Woodside,Woodside,,0,1000,1500,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-104278,TE,Donald,Donald Parham Jr.,Parham Jr.,,0,1000,1500,PIT@CIN,PIT,CIN,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
121556-54239,TE,Matt,Matt Sokol,Sokol,,0,1000,1500,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-201564,TE,Cam,Cam Grandy,Grandy,1.100000023841858,1,1000,1500,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-104165,RB,Lew,Lew Nichols,Nichols,0,1,1000,1500,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-138854,WR,Ke'Shawn,Ke'Shawn Williams,Williams,0,1,1000,1500,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-63336,QB,Joe,Joe Burrow,Burrow,7.929999828338623,2,1000,1500,PIT@CIN,CIN,PIT,IR,Toe,,,,MVP - 1.5X Points/AnyFLEX
121556-206447,RB,Max,Max Hurleman,Hurleman,,0,1000,1500,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-133484,WR,Jermaine,Jermaine Burton,Burton,1.587499976158142,8,1000,1500,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-86646,RB,Trey,Trey Sermon,Sermon,0,1,1000,1500,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
121556-119672,RB,Kendall,Kendall Milton,Milton,,0,1000,1500,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-71935,WR,Kendric,Kendric Pryor,Pryor,1.399999976158142,1,1000,1500,PIT@CIN,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
121556-93055,WR,Isaiah,Isaiah Hodgins,Hodgins,1.100000023841858,2,1000,1500,PIT@CIN,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
