"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Jalen Hurts",PHI,"at WAS","4 out of 5 stars","A+","23.8","","","",""
"2","Patrick Mahomes II",KC,"at DEN","5 out of 5 stars","A+","23.3","","","",""
"3","Josh Allen",BUF,"vs. TB","2 out of 5 stars","A","22.1","","","",""
"4","Lamar Jackson",BAL,"at ARI","5 out of 5 stars","A","21.2","","","",""
"5","Justin Herbert",LAC,"vs. CHI","5 out of 5 stars","A","20.1","","","",""
"6","Tua Tagovailoa",MIA,"vs. NE","4 out of 5 stars","A-","19.0","","","",""
"7","Jared Goff",DET,"vs. LV","3 out of 5 stars","B+","18.2","","","",""
"8","Trevor Lawrence",JAC,"at PIT","2 out of 5 stars","B","17.7","","","",""
"9","C.J. Stroud",HOU,"at CAR","2 out of 5 stars","B","17.1","","","",""
"10","Joe Burrow",CIN,"at SF","2 out of 5 stars","B","16.7","","","",""
"11","Brock Purdy",SF,"vs. CIN","3 out of 5 stars","B","16.5","","","",""
"12","Kirk Cousins",MIN,"at GB","3 out of 5 stars","B-","16.3","","","",""
"13","Jordan Love",GB,"vs. MIN","3 out of 5 stars","C+","16.2","","","",""
"14","Russell Wilson",DEN,"vs. KC","2 out of 5 stars","C+","16.1","","","",""
"15","Matthew Stafford",LAR,"at DAL","2 out of 5 stars","C","16.1","","","",""
"16","Dak Prescott",DAL,"vs. LAR","2 out of 5 stars","C","15.9","","","",""
"17","Sam Howell",WAS,"vs. PHI","4 out of 5 stars","C","15.9","","","",""
"18","Desmond Ridder",ATL,"at TEN","4 out of 5 stars","C-","15.8","","","",""
"19","Bryce Young",CAR,"vs. HOU","3 out of 5 stars","D+","15.6","","","",""
"20","Geno Smith",SEA,"vs. CLE","3 out of 5 stars","D","15.4","","","",""
"21","Gardner Minshew II",IND,"vs. NO","2 out of 5 stars","D","15.3","","","",""
"22","Derek Carr",NO,"at IND","3 out of 5 stars","D","15.1","","","",""
"23","Kenny Pickett",PIT,"vs. JAC","3 out of 5 stars","D-","14.8","","","",""
"24","Deshaun Watson",CLE,"at SEA","4 out of 5 stars","F","14.5","","","",""
"25","Baker Mayfield",TB,"at BUF","2 out of 5 stars","F","14.3","","","",""
"26","Joshua Dobbs",ARI,"vs. BAL","2 out of 5 stars","F","14.1","","","",""
"27","Mac Jones",NE,"at MIA","4 out of 5 stars","F","13.8","","","",""
"28","Tyrod Taylor",NYG,"vs. NYJ","2 out of 5 stars","F","13.6","","","",""
"29","Zach Wilson",NYJ,"at NYG","4 out of 5 stars","F","13.5","","","",""
"30","Tyson Bagent",CHI,"at LAC","5 out of 5 stars","F","13.3","","","",""
"31","Jimmy Garoppolo",LV,"at DET","4 out of 5 stars","F","13.1","","","",""
"32","Malik Willis",TEN,"vs. ATL","3 out of 5 stars","F","12.8","","","",""
"33","PJ Walker",CLE,"at SEA","4 out of 5 stars","F","7.6","","","",""
"34","Aidan O'Connell",LV,"at DET","4 out of 5 stars","F","7.2","","","",""
"35","Will Levis",TEN,"vs. ATL","3 out of 5 stars","F","0.0","","","",""
"36","Brian Hoyer",LV,"at DET","4 out of 5 stars","F","0.0","","","",""
"37","Ryan Tannehill",TEN,"vs. ATL","3 out of 5 stars","F","0.0","","","",""
