"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Christian McCaffrey",SF,"vs. CIN","4 out of 5 stars","A+","20.8","","","",""
"2","Travis Etienne Jr.",JAC,"at PIT","4 out of 5 stars","A+","17.0","","","",""
"3","Austin Ekeler",LAC,"vs. CHI","4 out of 5 stars","A+","15.8","","","",""
"4","Tony Pollard",DAL,"vs. LAR","3 out of 5 stars","A","15.7","","","",""
"5","Alvin Kamara",NO,"at IND","3 out of 5 stars","A","15.3","","","",""
"6","Isiah Pacheco",KC,"at DEN","3 out of 5 stars","A","15.3","","","",""
"7","Breece Hall",NYJ,"at NYG","3 out of 5 stars","A","15.2","","","",""
"8","D'Andre Swift",PHI,"at WAS","3 out of 5 stars","A","15.2","","","",""
"9","Kenneth Walker III",SEA,"vs. CLE","2 out of 5 stars","A","15.1","","","",""
"10","Saquon Barkley",NYG,"vs. NYJ","2 out of 5 stars","A","14.7","","","",""
"11","Raheem Mostert",MIA,"vs. NE","3 out of 5 stars","A-","14.3","","","",""
"12","Bijan Robinson",ATL,"at TEN","3 out of 5 stars","A-","14.2","","","",""
"13","Jahmyr Gibbs",DET,"vs. LV","5 out of 5 stars","A-","13.8","","","",""
"14","Josh Jacobs",LV,"at DET","2 out of 5 stars","B+","13.4","","","",""
"15","Derrick Henry",TEN,"vs. ATL","3 out of 5 stars","B+","13.4","","","",""
"16","Jonathan Taylor",IND,"vs. NO","3 out of 5 stars","B","12.8","","","",""
"17","Joe Mixon",CIN,"at SF","3 out of 5 stars","B","12.6","","","",""
"18","James Cook",BUF,"vs. TB","3 out of 5 stars","B","12.5","","","",""
"19","Aaron Jones",GB,"vs. MIN","2 out of 5 stars","B","12.0","","","",""
"20","D'Onta Foreman",CHI,"at LAC","3 out of 5 stars","B","11.1","","","",""
"21","Alexander Mattison",MIN,"at GB","5 out of 5 stars","B-","11.1","","","",""
"22","Rachaad White",TB,"at BUF","4 out of 5 stars","B-","10.7","","","",""
"23","Javonte Williams",DEN,"vs. KC","3 out of 5 stars","C+","10.5","","","",""
"24","Gus Edwards",BAL,"at ARI","4 out of 5 stars","C+","10.4","","","",""
"25","Rhamondre Stevenson",NE,"at MIA","5 out of 5 stars","C+","10.1","","","",""
"26","Brian Robinson Jr.",WAS,"vs. PHI","2 out of 5 stars","C","10.1","","","",""
"27","Darrell Henderson Jr.",LAR,"at DAL","2 out of 5 stars","C","10.0","","","",""
"28","Dameon Pierce",HOU,"at CAR","5 out of 5 stars","C","9.7","","","",""
"29","Kareem Hunt",CLE,"at SEA","2 out of 5 stars","C","9.5","","","",""
"30","Chuba Hubbard",CAR,"vs. HOU","3 out of 5 stars","C","9.3","","","",""
"31","Najee Harris",PIT,"vs. JAC","3 out of 5 stars","C","9.1","","","",""
"32","Zack Moss",IND,"vs. NO","3 out of 5 stars","C","9.0","","","",""
"33","Jaylen Warren",PIT,"vs. JAC","3 out of 5 stars","C","8.8","","","",""
"34","Emari Demercado",ARI,"vs. BAL","3 out of 5 stars","C","8.3","","","",""
"35","Miles Sanders",CAR,"vs. HOU","3 out of 5 stars","C-","8.2","","","",""
"36","Roschon Johnson",CHI,"at LAC","3 out of 5 stars","C-","7.8","","","",""
"37","Tyler Allgeier",ATL,"at TEN","3 out of 5 stars","C-","7.6","","","",""
"38","AJ Dillon",GB,"vs. MIN","2 out of 5 stars","C-","7.5","","","",""
"39","Justice Hill",BAL,"at ARI","4 out of 5 stars","D+","7.3","","","",""
"40","Devin Singletary",HOU,"at CAR","5 out of 5 stars","D+","7.2","","","",""
"41","Jaleel McLaughlin",DEN,"vs. KC","3 out of 5 stars","D","7.0","","","",""
"42","Tyjae Spears",TEN,"vs. ATL","3 out of 5 stars","D","6.7","","","",""
"43","Ezekiel Elliott",NE,"at MIA","5 out of 5 stars","D","6.5","","","",""
"44","Royce Freeman",LAR,"at DAL","2 out of 5 stars","D","6.2","","","",""
"45","Latavius Murray",BUF,"vs. TB","3 out of 5 stars","D","6.2","","","",""
"46","Pierre Strong Jr.",CLE,"at SEA","2 out of 5 stars","D","6.1","","","",""
"47","Jeff Wilson Jr.",MIA,"vs. NE","3 out of 5 stars","D-","5.6","","","",""
"48","Craig Reynolds",DET,"vs. LV","5 out of 5 stars","D-","5.2","","","",""
"49","Elijah Mitchell",SF,"vs. CIN","4 out of 5 stars","F","5.1","","","",""
"50","Jamaal Williams",NO,"at IND","3 out of 5 stars","F","5.0","","","",""
"51","Antonio Gibson",WAS,"vs. PHI","2 out of 5 stars","F","4.9","","","",""
"52","Jerick McKinnon",KC,"at DEN","3 out of 5 stars","F","4.9","","","",""
"53","Kenneth Gainwell",PHI,"at WAS","3 out of 5 stars","F","4.8","","","",""
"54","Rico Dowdle",DAL,"vs. LAR","3 out of 5 stars","F","4.8","","","",""
"55","Joshua Kelley",LAC,"vs. CHI","4 out of 5 stars","F","4.7","","","",""
"56","Michael Carter",NYJ,"at NYG","3 out of 5 stars","F","4.7","","","",""
"57","Cam Akers",MIN,"at GB","5 out of 5 stars","F","4.6","","","",""
"58","Dalvin Cook",NYJ,"at NYG","3 out of 5 stars","F","4.3","","","",""
"59","Samaje Perine",DEN,"vs. KC","3 out of 5 stars","F","4.3","","","",""
"60","Cordarrelle Patterson",ATL,"at TEN","3 out of 5 stars","F","4.1","","","",""
"61","Zach Charbonnet",SEA,"vs. CLE","2 out of 5 stars","F","4.0","","","",""
"62","Salvon Ahmed",MIA,"vs. NE","3 out of 5 stars","F","3.9","","","",""
"63","Clyde Edwards-Helaire",KC,"at DEN","3 out of 5 stars","F","3.7","","","",""
"64","Jordan Mason",SF,"vs. CIN","4 out of 5 stars","F","3.6","","","",""
"65","Damien Williams",ARI,"vs. BAL","3 out of 5 stars","F","3.5","","","",""
"66","Ke'Shawn Vaughn",TB,"at BUF","4 out of 5 stars","F","3.4","","","",""
"67","Darrynton Evans",CHI,"at LAC","3 out of 5 stars","F","3.1","","","",""
"68","Tank Bigsby",JAC,"at PIT","4 out of 5 stars","F","3.1","","","",""
"69","DeeJay Dallas",SEA,"vs. CLE","2 out of 5 stars","F","2.9","","","",""
"70","Keaontay Ingram",ARI,"vs. BAL","3 out of 5 stars","F","2.8","","","",""
"71","Matt Breida",NYG,"vs. NYJ","2 out of 5 stars","F","2.8","","","",""
"72","Kendre Miller",NO,"at IND","3 out of 5 stars","F","2.5","","","",""
"73","Chris Rodriguez Jr.",WAS,"vs. PHI","2 out of 5 stars","F","2.1","","","",""
"74","Jerome Ford",CLE,"at SEA","2 out of 5 stars","F","2.0","","","",""
"75","Zamir White",LV,"at DET","2 out of 5 stars","F","1.8","","","",""
"76","Zach Evans",LAR,"at DAL","2 out of 5 stars","F","1.7","","","",""
"77","Ameer Abdullah",LV,"at DET","2 out of 5 stars","F","1.6","","","",""
"78","Boston Scott",PHI,"at WAS","3 out of 5 stars","F","1.6","","","",""
"79","Myles Gaskin",LAR,"at DAL","2 out of 5 stars","F","1.5","","","",""
"80","Keaton Mitchell",BAL,"at ARI","4 out of 5 stars","F","1.3","","","",""
"81","Kyle Juszczyk",SF,"vs. CIN","4 out of 5 stars","F","1.2","","","",""
"82","Ty Chandler",MIN,"at GB","5 out of 5 stars","F","1.0","","","",""
"83","David Montgomery",DET,"vs. LV","5 out of 5 stars","F","1.0","","","",""
"84","Travis Homer",CHI,"at LAC","3 out of 5 stars","F","0.9","","","",""
"85","D'Ernest Johnson",JAC,"at PIT","4 out of 5 stars","F","0.9","","","",""
"86","Chase Brown",CIN,"at SF","3 out of 5 stars","F","0.7","","","",""
"87","Trayveon Williams",CIN,"at SF","3 out of 5 stars","F","0.7","","","",""
"88","Alec Ingold",MIA,"vs. NE","3 out of 5 stars","F","0.7","","","",""
"89","Deuce Vaughn",DAL,"vs. LAR","3 out of 5 stars","F","0.5","","","",""
"90","Patrick Ricard",BAL,"at ARI","4 out of 5 stars","F","0.4","","","",""
"91","Sean Tucker",TB,"at BUF","4 out of 5 stars","F","0.4","","","",""
"92","Devine Ozigbo",DET,"vs. LV","5 out of 5 stars","F","0.4","","","",""
"93","Ty Montgomery II",NE,"at MIA","5 out of 5 stars","F","0.4","","","",""
"94","Eric Gray",NYG,"vs. NYJ","2 out of 5 stars","F","0.4","","","",""
"95","Isaiah Spiller",LAC,"vs. CHI","4 out of 5 stars","F","0.3","","","",""
"96","C.J. Ham",MIN,"at GB","5 out of 5 stars","F","0.3","","","",""
"97","Khari Blasingame",CHI,"at LAC","3 out of 5 stars","F","0.3","","","",""
"98","Reggie Gilliam",BUF,"vs. TB","3 out of 5 stars","F","0.3","","","",""
"99","Deon Jackson",NYG,"vs. NYJ","2 out of 5 stars","F","0.2","","","",""
"100","Ty Johnson",BUF,"vs. TB","3 out of 5 stars","F","0.2","","","",""
