"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"at DEN","3 out of 5 stars","A+","15.7","","","",""
"2","Mark Andrews",BAL,"at ARI","3 out of 5 stars","A","10.6","","","",""
"3","T.J. Hockenson",MIN,"at GB","3 out of 5 stars","A","10.6","","","",""
"4","Sam LaPorta",DET,"vs. LV","3 out of 5 stars","A-","9.2","","","",""
"5","George Kittle",SF,"vs. CIN","4 out of 5 stars","B+","8.9","","","",""
"6","Evan Engram",JAC,"at PIT","3 out of 5 stars","B-","8.3","","","",""
"7","Dallas Goedert",PHI,"at WAS","4 out of 5 stars","B","8.3","","","",""
"8","Darren Waller",NYG,"vs. NYJ","3 out of 5 stars","B","7.9","","","",""
"9","Kyle Pitts",ATL,"at TEN","3 out of 5 stars","C+","7.8","","","",""
"10","Dalton Schultz",HOU,"at CAR","4 out of 5 stars","C","7.1","","","",""
"11","Dalton Kincaid",BUF,"vs. TB","2 out of 5 stars","C","7.1","","","",""
"12","Taysom Hill",NO,"at IND","2 out of 5 stars","C-","7.0","","","",""
"13","Jake Ferguson",DAL,"vs. LAR","4 out of 5 stars","C-","6.5","","","",""
"14","Logan Thomas",WAS,"vs. PHI","5 out of 5 stars","D+","6.3","","","",""
"15","Jonnu Smith",ATL,"at TEN","3 out of 5 stars","D","6.3","","","",""
"16","Gerald Everett",LAC,"vs. CHI","4 out of 5 stars","D","6.3","","","",""
"17","Cole Kmet",CHI,"at LAC","3 out of 5 stars","D+","6.1","","","",""
"18","Michael Mayer",LV,"at DET","3 out of 5 stars","D","5.9","","","",""
"19","David Njoku",CLE,"at SEA","3 out of 5 stars","D","5.6","","","",""
"20","Luke Musgrave",GB,"vs. MIN","3 out of 5 stars","D","5.5","","","",""
"21","Hunter Henry",NE,"at MIA","4 out of 5 stars","D-","5.3","","","",""
"22","Tyler Higbee",LAR,"at DAL","3 out of 5 stars","D-","5.3","","","",""
"23","Trey McBride",ARI,"vs. BAL","2 out of 5 stars","F","5.2","","","",""
"24","Tyler Conklin",NYJ,"at NYG","3 out of 5 stars","F","5.1","","","",""
"25","Chigoziem Okonkwo",TEN,"vs. ATL","3 out of 5 stars","F","5.0","","","",""
"26","Cade Otton",TB,"at BUF","3 out of 5 stars","F","4.8","","","",""
"27","Mike Gesicki",NE,"at MIA","4 out of 5 stars","F","4.7","","","",""
"28","Irv Smith Jr.",CIN,"at SF","2 out of 5 stars","F","4.4","","","",""
"29","Donald Parham Jr.",LAC,"vs. CHI","4 out of 5 stars","F","4.3","","","",""
"30","Noah Fant",SEA,"vs. CLE","2 out of 5 stars","F","4.2","","","",""
"31","Durham Smythe",MIA,"vs. NE","4 out of 5 stars","F","4.2","","","",""
"32","Adam Trautman",DEN,"vs. KC","2 out of 5 stars","F","4.0","","","",""
"33","Juwan Johnson",NO,"at IND","2 out of 5 stars","F","3.9","","","",""
"34","Dawson Knox",BUF,"vs. TB","2 out of 5 stars","F","3.8","","","",""
"35","Noah Gray",KC,"at DEN","3 out of 5 stars","F","3.6","","","",""
"36","Hayden Hurst",CAR,"vs. HOU","4 out of 5 stars","F","3.5","","","",""
"37","Connor Heyward",PIT,"vs. JAC","3 out of 5 stars","F","3.5","","","",""
"38","Colby Parkinson",SEA,"vs. CLE","2 out of 5 stars","F","2.9","","","",""
"39","Kylen Granson",IND,"vs. NO","4 out of 5 stars","F","2.9","","","",""
"40","Tucker Kraft",GB,"vs. MIN","3 out of 5 stars","F","2.8","","","",""
"41","Foster Moreau",NO,"at IND","2 out of 5 stars","F","2.7","","","",""
"42","Josiah Deguara",GB,"vs. MIN","3 out of 5 stars","F","2.4","","","",""
"43","Josh Oliver",MIN,"at GB","3 out of 5 stars","F","2.3","","","",""
"44","Andrew Ogletree",IND,"vs. NO","4 out of 5 stars","F","2.3","","","",""
"45","Tommy Tremble",CAR,"vs. HOU","4 out of 5 stars","F","1.9","","","",""
"46","Austin Hooper",LV,"at DET","3 out of 5 stars","F","1.9","","","",""
"47","Robert Tonyan",CHI,"at LAC","3 out of 5 stars","F","1.8","","","",""
"48","Brenton Strange",JAC,"at PIT","3 out of 5 stars","F","1.8","","","",""
"49","Quintin Morris",BUF,"vs. TB","2 out of 5 stars","F","1.7","","","",""
"50","Pharaoh Brown",NE,"at MIA","4 out of 5 stars","F","1.5","","","",""
"51","Mo Alie-Cox",IND,"vs. NO","4 out of 5 stars","F","1.5","","","",""
