"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Puka Nacua","WR","LAR","15","20","7","10","11","7","12","","","","","","","","","","","","82","11.7"
"Stefon Diggs","WR","BUF","13","7","12","7","11","16","12","","","","","","","","","","","","78","11.1"
"A.J. Brown","WR","PHI","10","6","14","13","8","9","15","","","","","","","","","","","","75","10.7"
"Tyreek Hill","WR","MIA","15","9","11","5","9","10","15","","","","","","","","","","","","74","10.6"
"Ja'Marr Chase","WR","CIN","9","8","15","9","19","13","bye","","","","","","","","","","","","73","12.2"
"Davante Adams","WR","LV","9","8","20","13","4","5","12","","","","","","","","","","","","71","10.1"
"Amon-Ra St. Brown","WR","DET","9","7","12","7","-","15","19","","","","","","","","","","","","69","11.5"
"Chris Olave","WR","NO","10","11","11","6","5","10","15","","","","","","","","","","","","68","9.7"
"Michael Pittman Jr.","WR","IND","11","12","11","5","7","14","5","","","","","","","","","","","","65","9.3"
"Keenan Allen","WR","LAC","9","10","20","5","bye","11","9","","","","","","","","","","","","64","10.7"
"Marquise Brown","WR","ARI","5","10","7","10","10","11","7","","","","","","","","","","","","60","8.6"
"Adam Thielen","WR","CAR","2","9","14","8","13","13","bye","","","","","","","","","","","","59","9.8"
"T.J. Hockenson","TE","MIN","9","8","11","3","8","8","12","","","","","","","","","","","","59","8.4"
"Travis Kelce","TE","KC","-","9","8","9","11","9","13","","","","","","","","","","","","59","9.8"
"Jakobi Meyers","WR","LV","10","-","12","4","10","7","13","","","","","","","","","","","","56","9.3"
"Christian Kirk","WR","JAC","3","14","6","12","8","6","6","","","","","","","","","","","","55","7.9"
"Garrett Wilson","WR","NYJ","5","8","9","14","7","12","bye","","","","","","","","","","","","55","9.2"
"Zay Flowers","WR","BAL","10","5","10","4","11","8","6","","","","","","","","","","","","54","7.7"
"Michael Thomas","WR","NO","8","9","9","6","7","8","7","","","","","","","","","","","","54","7.7"
"Justin Jefferson","WR","MIN","12","13","13","9","6","-","-","","","","","","","","","","","","53","10.6"
"Terry McLaurin","WR","WAS","4","6","6","10","5","11","9","","","","","","","","","","","","51","7.3"
"Evan Engram","TE","JAC","5","8","8","8","8","7","7","","","","","","","","","","","","51","7.3"
"Kendrick Bourne","WR","NE","11","9","5","3","5","11","7","","","","","","","","","","","","51","7.3"
"DJ Moore","WR","CHI","2","7","6","9","10","8","9","","","","","","","","","","","","51","7.3"
"Drake London","WR","ATL","1","8","6","7","9","12","7","","","","","","","","","","","","50","7.1"
"DeVonta Smith","WR","PHI","10","5","5","9","5","11","5","","","","","","","","","","","","50","7.1"
"Sam LaPorta","TE","DET","5","6","11","5","4","11","7","","","","","","","","","","","","49","7.0"
