"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Josh Allen","QB","BUF","12","23.7","22.3","36.5","28.8","14.9","25.3","","","","","","","","","","","","23.3","163.4"
"2","Jalen Hurts","QB","PHI","12.5","26.2","21.9","24.2","28.3","22.9","24.3","","","","","","","","","","","","22.9","160.2"
"3","Tyreek Hill","WR","MIA","39","12.5","26.2","8.7","28.1","25.3","20.3","","","","","","","","","","","","22.9","160.1"
"4","Christian McCaffrey","RB","SF","24.4","21","20.4","45.2","12.8","12.7","21.1","","","","","","","","","","","","22.5","157.6"
"5","Patrick Mahomes II","QB","KC","20.5","22.2","25.7","15.2","19.2","18.3","34.9","","","","","","","","","","","","22.3","156.1"
"6","Lamar Jackson","QB","BAL","7.6","22.9","28.2","28.1","10.9","18.1","33.9","","","","","","","","","","","","21.4","149.7"
"7","Tua Tagovailoa","QB","MIA","28.1","13.3","28.4","15","18.9","22.5","11.3","","","","","","","","","","","","19.6","137.5"
"8","Raheem Mostert","RB","MIA","12","25.2","41.7","4","14.8","32.7","5.6","","","","","","","","","","","","19.4","136"
"9","Kirk Cousins","QB","MIN","17.5","28.6","26.7","11.6","19.9","8.7","22","","","","","","","","","","","","19.3","134.9"
"10","Jared Goff","QB","DET","14","23.9","19","12.4","27.4","22.4","10.2","","","","","","","","","","","","18.5","129.4"
"11","Stefon Diggs","WR","BUF","21.2","10.1","15.1","33","20.1","15","14.8","","","","","","","","","","","","18.5","129.3"
"12","Justin Herbert","QB","LAC","20.9","22.2","29.3","24.4","BYE","19.6","12.9","","","","","","","","","","","","21.5","129.2"
"13","Travis Etienne Jr.","RB","JAC","18.9","5.2","15.8","8.7","34.4","21.8","21.2","","","","","","","","","","","","18","126"
"14","A.J. Brown","WR","PHI","11.4","4.9","17.6","34","15.7","16.6","24.7","","","","","","","","","","","","17.8","124.9"
"15","Brock Purdy","QB","SF","16.8","14.7","20.3","21.3","26.1","8.7","14.8","","","","","","","","","","","","17.5","122.7"
"16","Russell Wilson","QB","DEN","15.2","26.9","15.2","22.2","18.7","8.9","13.9","","","","","","","","","","","","17.3","121.1"
"17","Sam Howell","QB","WAS","16.2","21.3","4.6","19.6","26.4","18.3","10.5","","","","","","","","","","","","16.7","116.9"
"18","Puka Nacua","WR","LAR","16.9","22.6","9.7","26.8","16.6","4.6","19.4","","","","","","","","","","","","16.7","116.6"
"19","DJ Moore","WR","CHI","3.5","13.4","11.6","23.1","45","7.6","9.4","","","","","","","","","","","","16.2","113.6"
"20","Jordan Love","QB","GB","23","20.3","25.3","19.6","8","BYE","16.3","","","","","","","","","","","","18.8","112.5"
"21","Justin Fields","QB","CHI","15.5","16.7","11.7","28.9","33","5.9","-","","","","","","","","","","","","18.6","111.7"
"22","Keenan Allen","WR","LAC","11.2","27.1","36.5","10.7","BYE","18","7.5","","","","","","","","","","","","18.5","111"
"23","Trevor Lawrence","QB","JAC","18.7","9.2","15.4","16.5","15.7","15.7","18.1","","","","","","","","","","","","15.6","109.3"
"24","Matthew Stafford","QB","LAR","14.5","16","13.5","17.2","16.9","13.2","15","","","","","","","","","","","","15.2","106.2"
"25","Joshua Dobbs","QB","ARI","1","25.2","17.1","23.4","10.7","11.1","16.1","","","","","","","","","","","","14.9","104.6"
"25","Kyren Williams","RB","LAR","17.4","25","7.5","26.2","6.7","21.8","-","","","","","","","","","","","","17.4","104.6"
"27","Desmond Ridder","QB","ATL","8.4","22.4","6.3","8.2","26.2","19.1","13.8","","","","","","","","","","","","14.9","104.4"
"28","C.J. Stroud","QB","HOU","10.2","21.5","20.6","21.8","14.2","15.2","BYE","","","","","","","","","","","","17.2","103.4"
"29","Zack Moss","RB","IND","-","18.7","21.5","9","32.5","14.9","6.7","","","","","","","","","","","","17.2","103.3"
"30","Adam Thielen","WR","CAR","2.2","16.9","26","11.7","22.2","23","BYE","","","","","","","","","","","","17","102"
"31","Travis Kelce","TE","KC","-","10.6","16.4","9","17.7","16.9","29.9","","","","","","","","","","","","16.8","100.5"
"32","Ja'Marr Chase","WR","CIN","6.6","5.6","20.1","10.8","44.7","11","BYE","","","","","","","","","","","","16.5","98.8"
"33","Kenneth Walker III","RB","SEA","8.7","17.9","29.1","13.9","BYE","16.4","12.1","","","","","","","","","","","","16.4","98.1"
"34","Amon-Ra St. Brown","WR","DET","16.1","11.2","15.1","14.1","-","24.4","16.7","","","","","","","","","","","","16.3","97.6"
"35","De'Von Achane","RB","MIA","-","1.4","49.3","25.5","21","-","-","","","","","","","","","","","","24.3","97.2"
"36","Baker Mayfield","QB","TB","16","18.4","11","23.9","BYE","7.8","17.2","","","","","","","","","","","","15.7","94.4"
"37","Davante Adams","WR","LV","9.6","17.4","35.7","11.5","6.5","3.9","9.2","","","","","","","","","","","","13.4","93.8"
"38","D'Andre Swift","RB","PHI","0.8","25.6","14.3","15.9","13.8","13.8","9","","","","","","","","","","","","13.3","93.2"
"39","Isiah Pacheco","RB","KC","7.4","7.5","14.8","23.3","12.9","12.8","14","","","","","","","","","","","","13.2","92.7"
"40","Justin Jefferson","WR","MIN","19.5","19.4","24.4","23.5","4.3","-","-","","","","","","","","","","","","18.2","91.1"
"41","Jordan Addison","WR","MIN","14.1","14.7","8.2","0","15.4","10.3","27.8","","","","","","","","","","","","12.9","90.5"
"42","Dak Prescott","QB","DAL","6.3","19.6","15.4","14.3","7.3","24.9","BYE","","","","","","","","","","","","14.6","87.8"
"43","Brian Robinson Jr.","RB","WAS","13.1","27.9","7","12.1","6.3","12.6","8.3","","","","","","","","","","","","12.5","87.3"
"44","Nico Collins","WR","HOU","11","24.1","4.4","32.3","5.4","10","BYE","","","","","","","","","","","","14.5","87.2"
"45","Jakobi Meyers","WR","LV","24.6","-","12","4.3","17","14.6","14.5","","","","","","","","","","","","14.5","87"
"46","Derek Carr","QB","NO","15.6","7.7","8.1","3.2","15.7","17.3","18.4","","","","","","","","","","","","12.3","86.1"
