Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
95180-62239,QB,Josh,Josh Allen,Allen,23.34857177734375,7,17500,TB@BUF,BUF,TB,,,,,,MVP - 1.5X Points/AnyFLEX
95180-25079,WR,Stefon,Stefon Diggs,Diggs,18.471429007393972,7,15000,TB@BUF,BUF,TB,,,,,,MVP - 1.5X Points/AnyFLEX
95180-32384,WR,Mike,Mike Evans,Evans,14.300000508626303,6,14000,TB@BUF,TB,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
95180-41535,QB,Baker,Baker Mayfield,Mayfield,15.736666361490885,6,13500,TB@BUF,TB,BUF,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
95180-91626,RB,James,James Cook,Cook,11.571428571428571,7,12500,TB@BUF,BUF,TB,,,,,,MVP - 1.5X Points/AnyFLEX
95180-137902,RB,Rachaad,Rachaad White,White,9.65000025431315,6,12000,TB@BUF,TB,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
95180-55635,WR,Chris,Chris Godwin,Godwin,9.716666539510092,6,11500,TB@BUF,TB,BUF,Q,Neck,,,,MVP - 1.5X Points/AnyFLEX
95180-94534,WR,Gabe,Gabe Davis,Davis,9.642857142857142,7,11000,TB@BUF,BUF,TB,,,,,,MVP - 1.5X Points/AnyFLEX
95180-12526,D,Buffalo,Buffalo Bills,Bills,10.714285714285714,7,10000,TB@BUF,BUF,TB,,,,,,MVP - 1.5X Points/AnyFLEX
95180-65128,K,Tyler,Tyler Bass,Bass,8.428571428571429,7,9500,TB@BUF,BUF,TB,,,,,,MVP - 1.5X Points/AnyFLEX
95180-60479,K,Chase,Chase McLaughlin,McLaughlin,7.5,6,9000,TB@BUF,TB,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
95180-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,9.333333333333334,6,8500,TB@BUF,TB,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
95180-86811,TE,Cade,Cade Otton,Otton,4.950000127156575,6,8000,TB@BUF,TB,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
95180-145558,TE,Dalton,Dalton Kincaid,Kincaid,5.299999872843425,6,7500,TB@BUF,BUF,TB,,,,,,MVP - 1.5X Points/AnyFLEX
95180-63078,RB,Ke'Shawn,Ke'Shawn Vaughn,Vaughn,1.3333333333333333,3,7500,TB@BUF,TB,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
95180-34331,RB,Latavius,Latavius Murray,Murray,5.285714285714286,7,7000,TB@BUF,BUF,TB,,,,,,MVP - 1.5X Points/AnyFLEX
95180-102902,WR,Trey,Trey Palmer,Palmer,4.316666603088379,6,7000,TB@BUF,TB,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
95180-94481,WR,Deven,Deven Thompkins,Thompkins,3.4166666666666665,6,6500,TB@BUF,TB,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
95180-64585,TE,Dawson,Dawson Knox,Knox,3.671428680419922,7,6500,TB@BUF,BUF,TB,O,Wrist,,,,MVP - 1.5X Points/AnyFLEX
95180-86518,WR,Khalil,Khalil Shakir,Shakir,2.9166666666666665,6,6500,TB@BUF,BUF,TB,,,,,,MVP - 1.5X Points/AnyFLEX
95180-64576,RB,Damien,Damien Harris,Harris,3,6,6000,TB@BUF,BUF,TB,IR,Concussion,,,,MVP - 1.5X Points/AnyFLEX
