nfl_players_list_id,week,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Roster Position,RK,MATCHUP ,START/SIT,PROJ. FPTS,Rank,PTS_AVG,PTS_TTL,TGT_AVG,TGT_TTL,dpp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,8,D,Philadelphia,PHI,Eagles,8.428571429,7,5000,PHI@WAS,PHI,WAS,,,DEF,1,5 out of 5 stars,A+,8.6,125,8.3,58,0,,602,13,7,12,5,5,6,10,,,,,,,,,,,
,8,D,Dallas,DAL,Cowboys,13.83333333,6,4900,LAR@DAL,DAL,LAR,,,DEF,7,1 out of 5 stars,B,7.2,52,13.8,83,0,,355,37,15,1,27,-1,4,,,,,,,,,,,,
,8,D,Baltimore,BAL,Ravens,10,7,4800,BAL@ARI,BAL,ARI,,,DEF,3,3 out of 5 stars,A,7.8,82,9.9,69,0,,485,11,3,7,17,6,11,14,,,,,,,,,,,
,8,D,Miami,MIA,Dolphins,6.428571429,7,4600,NE@MIA,MIA,NE,,,DEF,12,5 out of 5 stars,B-,7.1,176,6.4,45,0,,719,2,9,8,-2,11,5,12,,,,,,,,,,,
,8,D,Kansas City,KC,Chiefs,8.571428571,7,4500,KC@DEN,KC,DEN,,,DEF,5,4 out of 5 stars,B+,7.3,119,8.6,60,0,,523,4,10,11,5,6,14,10,,,,,,,,,,,
,8,D,New York,NYJ,Jets,10,6,4400,NYJ@NYG,NYJ,NYG,,,DEF,4,5 out of 5 stars,B+,7.5,130,9.5,57,0,,463,20,0,1,7,18,11,,,,,,,,,,,,
,8,D,Seattle,SEA,Seahawks,10.16666667,6,4300,CLE@SEA,SEA,CLE,,,DEF,13,5 out of 5 stars,B-,7,115,10.2,61,0,,422,1,13,3,30,,6,8,,,,,,,,,,,
,8,D,San Francisco,SF,49ers,7.571428571,7,4200,CIN@SF,SF,CIN,,,DEF,9,3 out of 5 stars,B,7.2,148,7.6,53,0,,553,13,5,8,2,16,7,2,,,,,,,,,,,
,8,D,Jacksonville,JAC,Jaguars,9.142857143,7,4200,JAC@PIT,JAC,PIT,,,DEF,19,3 out of 5 stars,D+,6.1,115,8.7,61,0,,483,11,8,-4,20,5,12,9,,,,,,,,,,,
,8,D,Cleveland,CLE,Browns,9,6,4100,CLE@SEA,CLE,SEA,,,DEF,6,2 out of 5 stars,B+,7.3,146,9,54,0,,456,9,7,12,4,,6,16,,,,,,,,,,,
,8,D,Tennessee,TEN,Titans,5.833333333,6,4100,ATL@TEN,TEN,ATL,,,DEF,20,5 out of 5 stars,D,6,219,5.8,35,0,,707,9,3,5,12,1,5,,,,,,,,,,,,
,8,D,New Orleans,NO,Saints,9,7,4000,NO@IND,NO,IND,,,DEF,10,3 out of 5 stars,B-,7.2,104,9,63,0,,444,10,7,10,3,24,5,4,,,,,,,,,,,
,8,D,Houston,HOU,Texans,7.666666667,6,4000,HOU@CAR,HOU,CAR,,,DEF,17,5 out of 5 stars,C-,6.7,170,7.7,46,0,,519,8,-1,13,12,4,10,,,,,,,,,,,,
,8,D,Atlanta,ATL,Falcons,5.142857143,7,3900,ATL@TEN,ATL,TEN,,,DEF,14,3 out of 5 stars,C+,6.9,215,5.1,36,0,,765,12,1,3,3,1,5,11,,,,,,,,,,,
,8,D,New York,NYG,Giants,4.714285714,7,3900,NYJ@NYG,NYG,NYJ,,,DEF,15,2 out of 5 stars,C,6.9,230,4.7,33,0,,830,-1,-1,1,3,12,5,14,,,,,,,,,,,
,8,D,Green Bay,GB,Packers,6.666666667,6,3800,MIN@GB,GB,MIN,,,DEF,18,3 out of 5 stars,D+,6.2,210,6.2,37,0,,613,15,3,5,3,9,,2,,,,,,,,,,,
